species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
shtshe,US,3.7511657323375767,11.436233577634697,41.57067910323592,prebreeding_migration,0.029276724892398,0.0155065677003746,0.102369214014816,98.0,2.9276724892398,1.0,rare,100.0,rare,peak_abundance_with_occupancy_days_modifiers,0.029276724892398
snogoo,US,2.690605591495835,6.9657,13.7406,nonbreeding,0.0593,0.9201,0.9885,140.0,5.93,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.0593
rewbla,US,2.41525284564746,6.2832,10.1926,nonbreeding,0.3957,0.9126,0.9749,126.0,39.57,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3957
cangoo,US,1.7942729743923536,2.906625,5.0151,prebreeding_migration,0.481,0.828,0.8801,119.0,48.1,0.7482699493787386,abundant,74.82699493787386,,peak_abundance_with_occupancy_days_modifiers,0.481
eursta,US,1.4979475364007373,2.469975,3.4725,nonbreeding,0.4213,0.334,0.2618,140.0,42.13,0.6246926433332576,common,62.46926433332576,,peak_abundance_with_occupancy_days_modifiers,0.4213
zebdov,US,1.4317572380653718,3.1860486166603033,3.1860486166603033,resident,0.4523103009749894,0.0086065044847389,0.0230493305928065,365.0,45.231030097498945,0.5970891449293759,common,59.708914492937595,,peak_abundance_with_occupancy_days_modifiers,0.4523103009749894
comgra,US,1.3770265472989744,1.86445,2.9631,nonbreeding,0.1829,0.9926,0.9996,112.0,18.29,0.5742646740747643,common,57.42646740747644,,peak_abundance_with_occupancy_days_modifiers,0.1829
bklkit,US,1.3396794723018521,1.202101945648835,2.817819592301931,breeding,0.060789750206018,0.0116060353137608,0.0169558939175284,119.0,6.0789750206018,0.5586897340760137,common,55.86897340760137,,peak_abundance_with_occupancy_days_modifiers,0.060789750206018
amerob,US,1.1325627280376571,1.78085,2.1036,nonbreeding,0.574,0.8782,0.9796,98.0,57.4,0.47231534291151245,common,47.23153429115124,,peak_abundance_with_occupancy_days_modifiers,0.574
daejun,US,1.0252886242492663,0.98815,1.7879,nonbreeding,0.5933,0.8957,0.9449,105.0,59.330000000000005,0.42757856687074697,common,42.7578566870747,,peak_abundance_with_occupancy_days_modifiers,0.5933
redpol1,US,0.9897971771057179,1.316577102133985,1.6906886837354729,breeding,0.8653442348749049,0.311430922307965,0.4420545103955367,112.0,86.53442348749049,0.41277748379336576,common,41.27774837933658,,peak_abundance_with_occupancy_days_modifiers,0.8653442348749049
moudov,US,0.9716119034621167,1.051625,1.6422,breeding,0.7467,0.7548,0.8194,119.0,74.67,0.4051936356370704,common,40.51936356370704,,peak_abundance_with_occupancy_days_modifiers,0.7467
sancra,US,0.9364854391596743,1.072875,1.551,postbreeding_migration,0.3326,0.9053,0.9038,119.0,33.26,0.3905447622267445,common,39.05447622267445,,peak_abundance_with_occupancy_days_modifiers,0.3326
