species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eardov1,UY,2.7883944017837,15.2549,15.2549,resident,0.9918,0.0245,0.094,365.0,99.18,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9918
monpar,UY,2.3118421142567223,9.093,9.093,resident,0.9888,0.0732,0.1026,365.0,98.88,0.9641130455037665,abundant,96.41130455037666,,peak_abundance_with_occupancy_days_modifiers,0.9888
soulap1,UY,1.9907879078333988,5.106425,6.3213,nonbreeding,0.9936,0.0139,0.062,175.0,99.36,0.8302230420222343,abundant,83.02230420222342,,peak_abundance_with_occupancy_days_modifiers,0.9936
rucspa1,UY,1.529593518428442,3.6163,3.6163,resident,0.9916,0.0241,0.0438,365.0,99.16,0.63789004289724,common,63.789004289724005,,peak_abundance_with_occupancy_days_modifiers,0.9916
whfibi,UY,1.4706125313484681,2.616175,3.3519,postbreeding_migration,0.9557,0.0631,0.0499,119.0,95.57,0.6132930608067161,common,61.32930608067161,,peak_abundance_with_occupancy_days_modifiers,0.9557
picpig2,UY,1.3919035998844012,3.0225,3.0225,resident,0.9961,0.0227,0.0322,365.0,99.61,0.5804688868918091,common,58.04688868918091,,peak_abundance_with_occupancy_days_modifiers,0.9961
saffin,UY,1.3906598186295307,3.0175,3.0175,resident,0.9931,0.0233,0.0709,365.0,99.31,0.5799501898206818,common,57.99501898206818,,peak_abundance_with_occupancy_days_modifiers,0.9931
gryfin1,UY,1.371738943110692,2.7266500000000002,2.9422,breeding,0.9853,0.046,0.0608,161.0,98.53,0.57205957185522,common,57.205957185522,,peak_abundance_with_occupancy_days_modifiers,0.9853
rufhor2,UY,1.3455765278413316,2.8404,2.8404,resident,0.9927,0.0284,0.0801,365.0,99.27,0.5611489972500044,common,56.11489972500044,,peak_abundance_with_occupancy_days_modifiers,0.9927
shicow,UY,1.27032218486747,2.562,2.562,resident,0.9927,0.0195,0.0558,365.0,99.27,0.5297654986345545,common,52.976549863455446,,peak_abundance_with_occupancy_days_modifiers,0.9927
