species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
mallar3,UZ,2.3152446219408,4.147625,9.1274,nonbreeding,0.8431,0.0374,0.0247,126.0,84.31,0.9655320014200968,abundant,96.55320014200967,,peak_abundance_with_occupancy_days_modifiers,0.8431
eursta,UZ,1.873109014924378,3.290025,5.5085,postbreeding_migration,0.9344,0.0236,0.0124,140.0,93.44,0.7811471318922276,abundant,78.11471318922275,,peak_abundance_with_occupancy_days_modifiers,0.9344
gnwtea,UZ,1.3530736121282205,2.1099,2.8693,postbreeding_migration,0.8605,0.0218,0.0218,126.0,86.05000000000001,0.5642755242388748,common,56.427552423887484,,peak_abundance_with_occupancy_days_modifiers,0.8605
barswa,UZ,1.2659612016600044,1.5412750000000002,2.5465,breeding,0.9663,0.0082,0.0165,154.0,96.63000000000001,0.5279468273785841,common,52.79468273785841,,peak_abundance_with_occupancy_days_modifiers,0.9663
comshe,UZ,1.2589722225445406,0.7582749999999999,2.5218,nonbreeding,0.3978,,,,39.78,0.5250321967044482,common,52.50321967044482,,peak_abundance_with_occupancy_days_modifiers,0.3978
eurcoo,UZ,1.2150611013113564,1.05395,2.3705,postbreeding_migration,0.7032,0.0247,0.0233,154.0,70.32000000000001,0.5067198368064534,common,50.67198368064534,,peak_abundance_with_occupancy_days_modifiers,0.7032
crelar1,UZ,1.1137964239931497,1.85385,2.0459,breeding,0.9565,0.0306,0.0441,147.0,95.65,0.46448918625763697,common,46.448918625763696,,peak_abundance_with_occupancy_days_modifiers,0.9565
rook1,UZ,1.0698012068139902,1.2704,1.9148,nonbreeding,0.627,0.0301,0.0279,217.0,62.7,0.44614175562618297,common,44.6141755626183,,peak_abundance_with_occupancy_days_modifiers,0.627
comcha,UZ,1.0586232804517464,1.0497999999999998,1.8824,nonbreeding,0.93,0.0377,0.0233,77.0,93.0,0.4414801982641724,common,44.14801982641724,,peak_abundance_with_occupancy_days_modifiers,0.93
renpha,UZ,1.0498421242986804,1.149,1.8572,prebreeding_migration,0.6023,,,,60.23,0.4378181717141894,common,43.78181717141894,,peak_abundance_with_occupancy_days_modifiers,0.6023
bkwsti,UZ,0.9468975284670554,1.1569333333333334,1.5777,breeding,0.7648,0.0241,0.0325,84.0,76.48,0.39488694073032443,common,39.48869407303244,,peak_abundance_with_occupancy_days_modifiers,0.7648
bkhgul,UZ,0.8922848834073088,0.6546500000000001,1.4407,postbreeding_migration,0.7705,0.0335,0.0206,175.0,77.05,0.3721116987590548,common,37.21116987590548,,peak_abundance_with_occupancy_days_modifiers,0.7705
eaywag1,UZ,0.8380264418780299,0.7247,1.3118,prebreeding_migration,0.8292,0.0114,0.0321,105.0,82.92,0.34948417113314695,common,34.9484171133147,,peak_abundance_with_occupancy_days_modifiers,0.8292
grecor,UZ,0.8182367913987669,0.7095750000000001,1.2665,postbreeding_migration,0.6054,0.0321,0.0193,98.0,60.540000000000006,0.34123124586832987,common,34.123124586832986,,peak_abundance_with_occupancy_days_modifiers,0.6054
banswa,UZ,0.7785447560721737,0.9413666666666666,1.1783,prebreeding_migration,0.7512,,,,75.12,0.32467838145558514,common,32.46783814555852,,peak_abundance_with_occupancy_days_modifiers,0.7512
whiwag,UZ,0.7755102709850684,0.7677,1.1717,prebreeding_migration,0.9998,0.0127,0.0225,112.0,99.98,0.32341290288296837,common,32.34129028829684,,peak_abundance_with_occupancy_days_modifiers,0.9998
litsti,UZ,0.7669551077046651,0.5710666666666667,1.1532,prebreeding_migration,0.7231,0.0213,0.0484,140.0,72.31,0.31984512268111687,common,31.984512268111686,,peak_abundance_with_occupancy_days_modifiers,0.7231
norsho,UZ,0.7137338141683337,0.5689666666666667,1.0416,prebreeding_migration,0.6865,0.0279,0.0204,105.0,68.65,0.29765011936296876,common,29.765011936296876,,peak_abundance_with_occupancy_days_modifiers,0.6865
spaspa1,UZ,0.6368942390091469,0.83875,0.8906,breeding,0.8416,,,,84.16,0.26560552757831,fairly_common,26.560552757831,,peak_abundance_with_occupancy_days_modifiers,0.8416
comswi,UZ,0.6345642231276474,0.5293333333333333,0.8862,prebreeding_migration,0.9909,0.018,0.0179,91.0,99.09,0.2646338354831918,fairly_common,26.46338354831918,,peak_abundance_with_occupancy_days_modifiers,0.9909
norlap,UZ,0.6031130578559643,0.41053333333333336,0.8278,postbreeding_migration,0.6749,0.038,0.0102,105.0,67.49000000000001,0.25151768081686254,fairly_common,25.151768081686253,,peak_abundance_with_occupancy_days_modifiers,0.6749
eubeat1,UZ,0.5782412520585876,0.6760666666666667,0.7829,postbreeding_migration,0.9376,0.0489,0.0331,84.0,93.76,0.24114533216614323,fairly_common,24.114533216614323,,peak_abundance_with_occupancy_days_modifiers,0.9376
graher1,UZ,0.5322152264444612,0.32895,0.7027,postbreeding_migration,0.8833,0.0174,0.0193,147.0,88.33,0.22195098863653043,fairly_common,22.195098863653044,,peak_abundance_with_occupancy_days_modifiers,0.8833
wemhar1,UZ,0.5227739572818318,0.3761,0.6867,nonbreeding,0.6972,0.0448,0.0447,119.0,69.72,0.21801367357955911,fairly_common,21.80136735795591,,peak_abundance_with_occupancy_days_modifiers,0.6972
gloibi,UZ,0.48032517831760696,0.49666666666666665,0.6166,prebreeding_migration,0.359,,,,35.9,0.20031115777506917,fairly_common,20.031115777506916,,peak_abundance_with_occupancy_days_modifiers,0.359
comcra,UZ,0.47150250536947147,0.40215,0.6024,prebreeding_migration,0.75,0.0208,0.0172,84.0,75.0,0.1966318173767542,fairly_common,19.66318173767542,,peak_abundance_with_occupancy_days_modifiers,0.75
skylar,UZ,0.4679389993635186,0.20142500000000002,0.5967,postbreeding_migration,0.919,0.0203,0.0104,105.0,91.9,0.19514571994523702,fairly_common,19.514571994523703,,peak_abundance_with_occupancy_days_modifiers,0.919
whwter,UZ,0.4557779219817535,0.5326333333333333,0.5774,breeding,0.4167,0.0325,0.0173,126.0,41.67,0.19007415676242417,fairly_common,19.007415676242417,,peak_abundance_with_occupancy_days_modifiers,0.4167
rocpig,UZ,0.4501835017964291,0.5686,0.5686,resident,0.2044,0.0053,0.0051,365.0,20.44,0.18774110233390628,fairly_common,18.77411023339063,,peak_abundance_with_occupancy_days_modifiers,0.2044
ruff,UZ,0.4422469522006927,0.3710333333333334,0.5562,postbreeding_migration,0.7952,0.0308,0.0194,161.0,79.52,0.18443130407633923,fairly_common,18.443130407633923,,peak_abundance_with_occupancy_days_modifiers,0.7952
blakit1,UZ,0.4399309449894429,0.2816666666666667,0.5526,postbreeding_migration,0.7523,0.0081,0.0085,91.0,75.22999999999999,0.1834654540504759,fairly_common,18.34654540504759,,peak_abundance_with_occupancy_days_modifiers,0.7523
casgul2,UZ,0.4219288341388295,0.39232500000000003,0.5249,postbreeding_migration,0.6881,0.0749,0.0798,147.0,68.81,0.17595799071176024,fairly_common,17.595799071176025,,peak_abundance_with_occupancy_days_modifiers,0.6881
comter,UZ,0.4182497024675837,0.2839,0.5193,breeding,0.765,0.0231,0.0149,84.0,76.5,0.17442367363253589,fairly_common,17.442367363253588,,peak_abundance_with_occupancy_days_modifiers,0.765
houspa,UZ,0.3906221612383899,0.4779,0.4779,resident,0.8979,0.0204,0.0038,365.0,89.79,0.16290209404455328,common,16.29020940445533,,peak_abundance_with_occupancy_days_modifiers,0.8979
compoc,UZ,0.37884731020387236,0.31783333333333336,0.4606,postbreeding_migration,0.7958,0.0372,0.0186,112.0,79.58,0.1579915997589641,fairly_common,15.79915997589641,,peak_abundance_with_occupancy_days_modifiers,0.7958
greegr,UZ,0.3690085710975492,0.278975,0.4463,nonbreeding,0.8818,0.0118,0.0117,133.0,88.18,0.15388852686085494,fairly_common,15.388852686085494,,peak_abundance_with_occupancy_days_modifiers,0.8818
gargan,UZ,0.3559947126338682,0.223775,0.4276,postbreeding_migration,0.8714,0.034,0.0324,140.0,87.14,0.1484613263440894,fairly_common,14.84613263440894,,peak_abundance_with_occupancy_days_modifiers,0.8714
brambl,UZ,0.3410332479487755,0.28733333333333333,0.4064,nonbreeding,0.5988,0.0194,0.0032,56.0,59.88,0.1422219109472558,fairly_common,14.22219109472558,,peak_abundance_with_occupancy_days_modifiers,0.5988
blbsan1,UZ,0.33754309162270596,0.22113333333333332,0.4015,postbreeding_migration,0.8623,0.0729,0.0901,84.0,86.22999999999999,0.1407664027081505,fairly_common,14.07664027081505,,peak_abundance_with_occupancy_days_modifiers,0.8623
comchi1,UZ,0.33404071142979785,0.38634999999999997,0.3966,prebreeding_migration,0.9991,0.0169,0.0179,119.0,99.91,0.13930579672062518,fairly_common,13.930579672062517,,peak_abundance_with_occupancy_days_modifiers,0.9991
colpra,UZ,0.3307557253944681,0.3862563090314971,0.3920197157068996,prebreeding_migration,0.2957743992635083,0.0870867294389318,0.0696573669573742,42.0,29.57743992635083,0.13793585113851636,fairly_common,13.793585113851636,,peak_abundance_with_occupancy_days_modifiers,0.2957743992635083
commyn,UZ,0.31867188913852507,0.3753,0.3753,resident,0.2114,0.0166,0.011,365.0,21.14,0.13289650000712136,fairly_common,13.289650000712136,,peak_abundance_with_occupancy_days_modifiers,0.2114
eurmag1,UZ,0.31597794160662823,0.3716,0.3716,resident,0.6499,0.0172,0.0124,365.0,64.99000000000001,0.13177303662552298,common,13.177303662552298,,peak_abundance_with_occupancy_days_modifiers,0.6499
eurrol1,UZ,0.3103482429506924,0.27463333333333334,0.3639,breeding,0.9817,0.0353,0.0587,98.0,98.17,0.1294252699320403,fairly_common,12.942526993204028,,peak_abundance_with_occupancy_days_modifiers,0.9817
hoocro1,UZ,0.30895420772732063,0.24300000000000002,0.362,prebreeding_migration,0.7143,0.0274,0.0123,168.0,71.43,0.1288439120891079,fairly_common,12.88439120891079,,peak_abundance_with_occupancy_days_modifiers,0.7143
isawhe1,UZ,0.3037276508702484,0.26589999999999997,0.3549,breeding,0.8151,0.0336,0.0403,14.0,81.51,0.12666426858408825,rare,12.666426858408824,rare,peak_abundance_with_occupancy_days_modifiers,0.8151
corbun1,UZ,0.29594781686881355,0.22103333333333333,0.3444,prebreeding_migration,0.4471,0.0362,0.0291,56.0,44.71,0.12341982580558623,fairly_common,12.341982580558623,,peak_abundance_with_occupancy_days_modifiers,0.4471
comred1,UZ,0.2891559857077813,0.253025,0.3353,nonbreeding,0.6472,0.108,0.0747,189.0,64.72,0.1205874122143512,common,12.058741221435119,,peak_abundance_with_occupancy_days_modifiers,0.6472
lirplo,UZ,0.2888563826795496,0.19524999999999998,0.3349,prebreeding_migration,0.8668,0.0247,0.0301,126.0,86.68,0.1204624680470098,fairly_common,12.04624680470098,,peak_abundance_with_occupancy_days_modifiers,0.8668
steeag1,UZ,0.2774044380406467,0.16125,0.3197,nonbreeding,0.7545,0.0264,0.0403,133.0,75.44999999999999,0.11568663618779008,fairly_common,11.56866361877901,,peak_abundance_with_occupancy_days_modifiers,0.7545
gragoo,UZ,0.27725287696124173,0.21606666666666666,0.3195,prebreeding_migration,0.3637,0.0301,0.0117,98.0,36.370000000000005,0.11562343030839899,fairly_common,11.562343030839898,,peak_abundance_with_occupancy_days_modifiers,0.3637
woosan,UZ,0.2756600972244555,0.17235,0.3174,prebreeding_migration,0.796,0.0184,0.0148,182.0,79.60000000000001,0.11495918956575496,common,11.495918956575496,,peak_abundance_with_occupancy_days_modifiers,0.796
citwag,UZ,0.27162890712953297,0.16412500000000002,0.3121,prebreeding_migration,0.8636,0.0266,0.03,105.0,86.36,0.11327805272018367,fairly_common,11.327805272018367,,peak_abundance_with_occupancy_days_modifiers,0.8636
reebun,UZ,0.26727526267411833,0.2587,0.3064,postbreeding_migration,0.8523,0.0275,0.0356,77.0,85.22999999999999,0.11146244196153114,fairly_common,11.146244196153114,,peak_abundance_with_occupancy_days_modifiers,0.8523
carcro1,UZ,0.26712215848641974,0.156475,0.3062,postbreeding_migration,0.2909,0.0145,0.0077,84.0,29.09,0.11139859255599814,fairly_common,11.139859255599815,,peak_abundance_with_occupancy_days_modifiers,0.2909
hoopoe,UZ,0.22234323114344062,0.22230000000000003,0.249,breeding,0.9964,0.0129,0.0168,84.0,99.64,0.09272432940074304,fairly_common,9.272432940074305,,peak_abundance_with_occupancy_days_modifiers,0.9964
recpoc,UZ,0.21559513355688012,0.167525,0.2406,prebreeding_migration,0.3405,0.0592,0.0333,63.0,34.050000000000004,0.08991015412665546,fairly_common,8.991015412665545,,peak_abundance_with_occupancy_days_modifiers,0.3405
callar1,UZ,0.21430460264700538,0.12065,0.239,breeding,0.8847,0.074,0.0433,98.0,88.47,0.08937196093510348,fairly_common,8.937196093510348,,peak_abundance_with_occupancy_days_modifiers,0.8847
gadwal,UZ,0.20220588009932972,0.12919999999999998,0.2241,prebreeding_migration,0.4624,0.0177,0.0076,105.0,46.239999999999995,0.08432640173786787,fairly_common,8.432640173786787,,peak_abundance_with_occupancy_days_modifiers,0.4624
