species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
laugul,VC,2.9076530395477374,6.619109920642483,17.313766403896054,breeding,0.7235772357723578,0.0020619034380502,0.003790208852877,112.0,72.35772357723577,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7235772357723578
scnpig1,VC,1.894812706923738,5.651302545051265,5.651302545051265,resident,0.967479674796748,0.0077272727272727,0.0509956594646545,365.0,96.7479674796748,0.790198274469456,abundant,79.0198274469456,,peak_abundance_with_occupancy_days_modifiers,0.967479674796748
carmar1,VC,1.857334731892147,4.433983220256925,5.40663858642423,breeding,0.3983739837398374,0.0061658487479552,0.0427098032691359,182.0,39.83739837398374,0.7745687449162934,abundant,77.45687449162934,,peak_abundance_with_occupancy_days_modifiers,0.3983739837398374
stvpar1,VC,1.5753590134144024,3.832476230508621,3.832476230508621,resident,0.7101449275362319,1.0,1.0,365.0,71.01449275362319,0.6569757367159494,common,65.69757367159494,,peak_abundance_with_occupancy_days_modifiers,0.7101449275362319
banana,VC,1.555884107989794,3.739274704117116,3.739274704117116,resident,0.6016260162601627,0.0001555304745150707,0.003525172619391,365.0,60.16260162601627,0.6488540703339641,common,64.88540703339642,,peak_abundance_with_occupancy_days_modifiers,0.6016260162601627
magfri,VC,1.4262401893007863,3.1348984966554294,3.1630175724262144,nonbreeding,0.7073170731707317,0.0022539444027047,0.0016428973160853,140.0,70.73170731707317,0.5947883568894766,common,59.47883568894766,,peak_abundance_with_occupancy_days_modifiers,0.7073170731707317
cargra1,VC,1.1834153173794528,2.265507925439764,2.265507925439764,resident,0.3518518518518518,0.0003764090575905858,0.0009875575654516788,365.0,35.18518518518518,0.4935225198548366,common,49.35225198548366,,peak_abundance_with_occupancy_days_modifiers,0.3518518518518518
categr1,VC,1.1821907669226897,1.169114530147091,2.2615115935724925,postbreeding_migration,0.5040650406504065,4.686517343137729e-05,8.267736373906507e-05,140.0,50.40650406504065,0.49301184264943304,common,49.3011842649433,,peak_abundance_with_occupancy_days_modifiers,0.5040650406504065
bkfgra,VC,1.1192653671282125,2.0626034874741626,2.0626034874741626,resident,0.5365853658536586,0.0048943270300333,0.0191142703832792,365.0,53.65853658536586,0.4667699126918154,common,46.67699126918154,,peak_abundance_with_occupancy_days_modifiers,0.5365853658536586
grykin,VC,0.8741893280098094,1.2701266724010551,1.3969313810026742,breeding,0.5609756097560976,0.0024685174585002,0.0045511476849486,98.0,56.09756097560976,0.3645652660174857,common,36.45652660174857,,peak_abundance_with_occupancy_days_modifiers,0.5609756097560976
royter1,VC,0.7365593186652045,0.7368835035060358,1.0887364602185847,nonbreeding,0.6910569105691057,0.0023735723660327,0.0013428861852039,126.0,69.10569105691057,0.30716909408876375,common,30.716909408876376,,peak_abundance_with_occupancy_days_modifiers,0.6910569105691057
anchum1,VC,0.6798540065073383,0.973589579960922,0.973589579960922,resident,0.5853658536585366,0.0690316395014381,0.1038432335481177,365.0,58.536585365853654,0.2835211421531104,common,28.35211421531104,,peak_abundance_with_occupancy_days_modifiers,0.5853658536585366
leaswi1,VC,0.64405783149937,0.9041921140194156,0.9041921140194156,resident,0.7536231884057971,0.1130434782608695,0.1224071824601604,365.0,75.36231884057972,0.26859297768569657,common,26.859297768569657,,peak_abundance_with_occupancy_days_modifiers,0.7536231884057971
tromoc,VC,0.619003024484153,0.8570756596461825,0.8570756596461825,resident,0.3362449638208335,0.000274888492812996,0.0006098163030098435,365.0,33.62449638208335,0.25814431159946766,fairly_common,25.814431159946764,,peak_abundance_with_occupancy_days_modifiers,0.3362449638208335
leabul1,VC,0.6107539631268297,0.8418195394314523,0.8418195394314523,resident,0.4146341463414634,0.0547798066595059,0.0454085890690058,365.0,41.46341463414634,0.25470418581461773,fairly_common,25.47041858146177,,peak_abundance_with_occupancy_days_modifiers,0.4146341463414634
zendov,VC,0.5691503370694548,0.7667652585680399,0.7667652585680399,resident,0.44331541133398,0.002439984258166,0.0052418981161711,365.0,44.331541133398,0.23735412614799056,fairly_common,23.735412614799056,,peak_abundance_with_occupancy_days_modifiers,0.44331541133398
semsan,VC,0.5245826538019218,0.2577089138152863,0.6897534890054773,postbreeding_migration,0.2387017257927464,0.0001145409770345341,9.030443454769596e-05,140.0,23.87017257927464,0.21876795861469292,fairly_common,21.876795861469294,,peak_abundance_with_occupancy_days_modifiers,0.2387017257927464
brnpel,VC,0.48332814503641447,0.4363714508954587,0.6214618923945155,postbreeding_migration,0.4634146341463415,0.0018808777429467,0.00023178927970308108,161.0,46.34146341463415,0.2015634921671809,fairly_common,20.156349216718088,,peak_abundance_with_occupancy_days_modifiers,0.4634146341463415
eardov1,VC,0.4827897573785964,0.5090086995056127,0.6205891522813619,nonbreeding,0.3739837398373983,7.205457350741301e-05,1.3849048577998277e-05,140.0,37.39837398373983,0.20133896707472776,fairly_common,20.133896707472775,,peak_abundance_with_occupancy_days_modifiers,0.3739837398373983
roster,VC,0.47289964767430903,0.2587153911029707,0.6046403455055827,breeding,0.5121951219512195,0.00020345551429032775,0.0002509585701882848,112.0,51.21951219512195,0.1972144709733006,fairly_common,19.72144709733006,,peak_abundance_with_occupancy_days_modifiers,0.5121951219512195
cogdov,VC,0.4648272858045318,0.5052020064426389,0.5917392491809721,breeding,0.5203252032520326,0.00023720665443734585,0.0005825184773399428,147.0,52.03252032520326,0.19384803459830552,fairly_common,19.38480345983055,,peak_abundance_with_occupancy_days_modifiers,0.5203252032520326
bkwvir,VC,0.4591707851139847,0.47742806588187314,0.5827609917175942,postbreeding_migration,0.7681159420289855,0.0068528575122834,0.0079240303678026,105.0,76.81159420289855,0.19148909058823377,fairly_common,19.148909058823378,,peak_abundance_with_occupancy_days_modifiers,0.7681159420289855
shtswi1,VC,0.43746949329689555,0.5487830496487626,0.5487830496487626,resident,0.7391304347826086,0.00010028749080698002,0.000260834858768218,365.0,73.91304347826086,0.18243894896475765,common,18.243894896475766,,peak_abundance_with_occupancy_days_modifiers,0.7391304347826086
carela1,VC,0.4324158145852941,0.5409757421500441,0.5409757421500441,resident,0.7681159420289855,0.0402124430955993,0.0382974868772175,365.0,76.81159420289855,0.18033140124616867,common,18.033140124616867,,peak_abundance_with_occupancy_days_modifiers,0.7681159420289855
putcar1,VC,0.4264993590672619,0.5318855451069017,0.5318855451069017,resident,0.4782608695652174,0.0673469387755102,0.0828198071302494,365.0,47.82608695652174,0.17786404765272854,fairly_common,17.786404765272852,,peak_abundance_with_occupancy_days_modifiers,0.4782608695652174
baerob1,VC,0.3965496168779895,0.4866862008726694,0.4866862008726694,resident,0.4471544715447154,0.0011070407793567,0.0071271179955873,365.0,44.71544715447154,0.1653740350449966,fairly_common,16.537403504499657,,peak_abundance_with_occupancy_days_modifiers,0.4471544715447154
brwhaw,VC,0.2944521849457115,0.28352633973856156,0.3423907753473859,prebreeding_migration,0.4715447154471545,0.0005132365358189434,0.0032692634585571,119.0,47.15447154471545,0.1227960988480045,fairly_common,12.27960988480045,,peak_abundance_with_occupancy_days_modifiers,0.4715447154471545
semplo,VC,0.28946579213140167,0.15804813983737612,0.3357137486051388,postbreeding_migration,0.3362449638208335,0.0006678688305616777,0.00023788848949743275,161.0,33.62449638208335,0.12071661152807224,fairly_common,12.071661152807224,,peak_abundance_with_occupancy_days_modifiers,0.3362449638208335
grefly1,VC,0.28249161369376746,0.3264306511964679,0.3264306511964679,resident,0.6178861788617886,0.5277777777777778,0.4127453143027523,365.0,61.78861788617886,0.11780815321600618,common,11.780815321600619,,peak_abundance_with_occupancy_days_modifiers,0.6178861788617886
yebela1,VC,0.2714763446774807,0.3118998380756475,0.3118998380756475,resident,0.5203252032520326,0.00011159001827286547,0.0001431409056445,365.0,52.03252032520326,0.11321442923596275,common,11.321442923596276,,peak_abundance_with_occupancy_days_modifiers,0.5203252032520326
leatan1,VC,0.2679387694143846,0.3072670928346432,0.3072670928346432,resident,0.4552845528455284,0.5490196078431373,0.4036568699515641,365.0,45.52845528455284,0.11173914576415055,fairly_common,11.173914576415054,,peak_abundance_with_occupancy_days_modifiers,0.4552845528455284
libher,VC,0.2619906925871198,0.17853086957389985,0.2995144472555901,postbreeding_migration,0.6504065040650406,0.0004494129543284085,0.0002721622092357035,147.0,65.04065040650406,0.10925860506050117,fairly_common,10.925860506050117,,peak_abundance_with_occupancy_days_modifiers,0.6504065040650406
shicow,VC,0.25652950843287653,0.19452382643008548,0.2924369030245921,nonbreeding,0.2682926829268293,0.00010699383002246872,4.600310596635398e-05,140.0,26.82926829268293,0.10698111437264886,fairly_common,10.698111437264886,,peak_abundance_with_occupancy_days_modifiers,0.2682926829268293
barswa,VC,0.25650225509999275,0.13282417425551982,0.2924016802914133,postbreeding_migration,0.5834078313781523,1.735976857850324e-05,1.2242671329939644e-06,126.0,58.34078313781524,0.10696974885006205,fairly_common,10.696974885006206,,peak_abundance_with_occupancy_days_modifiers,0.5834078313781523
comblh1,VC,0.25366300591700086,0.2726721686945445,0.2887374341919802,nonbreeding,0.7681159420289855,0.001125050414995,0.0050558168653991,147.0,76.81159420289855,0.10578568997342959,fairly_common,10.578568997342959,,peak_abundance_with_occupancy_days_modifiers,0.7681159420289855
scbthr,VC,0.24016869873611055,0.2714636265367701,0.2714636265367701,resident,0.4347826086956521,0.0460829493087557,0.033970855958353,365.0,43.47826086956521,0.10015812677916952,fairly_common,10.015812677916951,,peak_abundance_with_occupancy_days_modifiers,0.4347826086956521
rudtur,VC,0.22558330990908093,0.1569393262108305,0.2530534215347012,nonbreeding,0.2860099427961162,0.0008000200005000125,0.0004915286895386689,154.0,28.60099427961162,0.09407554719678088,fairly_common,9.407554719678087,,peak_abundance_with_occupancy_days_modifiers,0.2860099427961162
wessan,VC,0.2137731946019748,0.2383417603446216,0.2383417603446216,postbreeding_migration,0.3414634146341463,0.0005390282091429451,0.00012040742336081624,49.0,34.14634146341463,0.08915034656726235,fairly_common,8.915034656726235,,peak_abundance_with_occupancy_days_modifiers,0.3414634146341463
blkswi,VC,0.1987117432385624,0.10206978320895471,0.2198302908868029,breeding,0.463768115942029,0.0005138746145940391,0.0009342639816794828,63.0,46.3768115942029,0.08286923348685844,fairly_common,8.286923348685844,,peak_abundance_with_occupancy_days_modifiers,0.463768115942029
cocthr1,VC,0.19704882207441413,0.217803494947409,0.217803494947409,resident,0.4347826086956521,0.00011709967524356732,0.0020028734867065,365.0,43.47826086956521,0.08217574149702375,fairly_common,8.217574149702376,,peak_abundance_with_occupancy_days_modifiers,0.4347826086956521
smbani,VC,0.19453994698628674,0.2147520075976182,0.2147520075976182,resident,0.2520325203252032,3.3810571365936175e-05,1.695771049425049e-05,365.0,25.203252032520318,0.08112945931923722,fairly_common,8.112945931923722,,peak_abundance_with_occupancy_days_modifiers,0.2520325203252032
houspa,VC,0.1929981442998198,0.2128805427743894,0.2128805427743894,resident,0.4065040650406504,3.099748672377644e-05,2.8933211623063195e-06,365.0,40.65040650406504,0.08048647765779561,fairly_common,8.048647765779561,,peak_abundance_with_occupancy_days_modifiers,0.4065040650406504
brotre1,VC,0.17845172142769117,0.1953651713565046,0.1953651713565046,resident,0.5942028985507246,0.1846846846846846,0.0855070430950526,365.0,59.42028985507246,0.07442014814076345,fairly_common,7.4420148140763445,,peak_abundance_with_occupancy_days_modifiers,0.5942028985507246
lesyel,VC,0.1701776221478594,0.07351324159922558,0.1855154064129955,postbreeding_migration,0.1626991760423388,4.239144258079103e-05,4.955176793160244e-05,154.0,16.26991760423388,0.07096958073121361,uncommon,7.09695807312136,,peak_abundance_with_occupancy_days_modifiers,0.1626991760423388
whiwar1,VC,0.14716436037073116,0.158544366163593,0.158544366163593,resident,0.7681159420289855,1.0,1.0,365.0,76.81159420289855,0.061372305137825614,fairly_common,6.137230513782561,,peak_abundance_with_occupancy_days_modifiers,0.7681159420289855
grnher,VC,0.13978689560419272,0.06638679416411042,0.1500286965714237,breeding,0.4146341463414634,0.00046069771875198576,0.00025584508646397686,119.0,41.46341463414634,0.058295663363587956,uncommon,5.829566336358796,,peak_abundance_with_occupancy_days_modifiers,0.4146341463414634
rocpig,VC,0.13885440012168468,0.1489567998542116,0.1489567998542116,resident,0.0935600689646509,1.8056603841723032e-06,5.646366600501408e-07,365.0,9.35600689646509,0.05790678254252532,uncommon,5.790678254252532,,peak_abundance_with_occupancy_days_modifiers,0.0935600689646509
