species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
dickci,VE,2.9292315216128872,6.809443581765193,17.71324424586379,postbreeding_migration,0.4148995086680836,0.4883710407903063,0.668502391803261,105.0,41.489950866808364,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4148995086680836
brcmar1,VE,2.6573085498730133,3.7086389532926294,13.25786308361528,nonbreeding,0.6073510188046438,0.1294914183546902,0.8645813380638558,133.0,60.735101880464384,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6073510188046438
bbwduc,VE,1.7619105593759294,2.732321453317231,4.823553016310074,prebreeding_migration,0.5199389024114567,0.1227906811054085,0.3304214507407726,119.0,51.99389024114567,0.7347737740521754,common,73.47737740521754,,peak_abundance_with_occupancy_days_modifiers,0.5199389024114567
fotfly,VE,1.4809406857108247,1.727883846029066,3.3970800063948072,prebreeding_migration,0.5093848902760706,0.2936200299731486,0.6187352235759151,119.0,50.93848902760706,0.6176002357194483,common,61.760023571944835,,peak_abundance_with_occupancy_days_modifiers,0.5093848902760706
grefla2,VE,1.3619229757153808,2.9036927952579084,2.9036927952579084,resident,0.0208485654289084,0.0903652593243918,0.6177186288040436,365.0,2.08485654289084,0.567965995498211,rare,56.7965995498211,rare,peak_abundance_with_occupancy_days_modifiers,0.0208485654289084
categr1,VE,1.1320712714981318,1.534552739721493,2.102075090228061,nonbreeding,0.3107980566251992,0.0294214934931634,0.0560957695507864,140.0,31.07980566251992,0.472110389615553,common,47.2110389615553,,peak_abundance_with_occupancy_days_modifiers,0.3107980566251992
blkvul,VE,0.9811598312626646,1.667548354394533,1.667548354394533,resident,0.563508489176684,0.0432552637579543,0.0824734076530448,365.0,56.350848917668394,0.40917543080087904,common,40.9175430800879,,peak_abundance_with_occupancy_days_modifiers,0.563508489176684
brtpar1,VE,0.9560266160425793,1.601339789720155,1.601339789720155,resident,0.4982520772317794,0.5074099932962777,0.547521600980288,365.0,49.82520772317794,0.39869406595346657,common,39.86940659534666,,peak_abundance_with_occupancy_days_modifiers,0.4982520772317794
bafibi1,VE,0.9121268618594255,1.4896119671811694,1.4896119671811694,resident,0.3438527306906751,0.1453979600885018,0.2534232542739181,365.0,34.38527306906751,0.3803864464835293,common,38.03864464835293,,peak_abundance_with_occupancy_days_modifiers,0.3438527306906751
scaibi,VE,0.8766698035861722,1.4028842907228187,1.4028842907228187,resident,0.3451962158282117,0.4351400327832314,0.414993612445626,365.0,34.519621582821166,0.36559970467896563,common,36.55997046789656,,peak_abundance_with_occupancy_days_modifiers,0.3451962158282117
turvul,VE,0.785301716358768,0.831746019660746,1.193068525572777,nonbreeding,0.8458226552395411,0.0497064607638013,0.0533119589077609,119.0,84.58226552395412,0.3274962527626622,common,32.74962527626622,,peak_abundance_with_occupancy_days_modifiers,0.8458226552395411
smbani,VE,0.7816482061886397,1.1850707462910663,1.1850707462910663,resident,0.5583264371410215,0.0626249094242876,0.078241515225045,365.0,55.83264371410215,0.3259726206793208,common,32.59726206793208,,peak_abundance_with_occupancy_days_modifiers,0.5583264371410215
wfwduc1,VE,0.7645590201223729,1.1480469202983703,1.1480469202983703,resident,0.3838567914345131,0.0418368082584793,0.061639927765985,365.0,38.38567914345131,0.3188458765466116,common,31.88458765466116,,peak_abundance_with_occupancy_days_modifiers,0.3838567914345131
greegr,VE,0.7137955482375817,0.8289279486181876,1.041726040166223,nonbreeding,0.3750920947794608,0.0383337522831316,0.0829535549459688,154.0,37.50920947794608,0.2976758644694996,common,29.767586446949963,,peak_abundance_with_occupancy_days_modifiers,0.3750920947794608
trokin,VE,0.7071745903004144,0.9428072716034483,1.028252510990017,breeding,0.8185784927991339,0.0823419569588617,0.1312350093605147,126.0,81.85784927991338,0.2949147105474434,common,29.491471054744338,,peak_abundance_with_occupancy_days_modifiers,0.8185784927991339
watjac1,VE,0.6532479341993473,0.9217724941236192,0.9217724941236192,resident,0.3997842618136459,0.1031876876894409,0.15889071246084,365.0,39.97842618136459,0.2724255481921025,fairly_common,27.242554819210252,,peak_abundance_with_occupancy_days_modifiers,0.3997842618136459
eardov1,VE,0.6506858741459645,0.720655744582279,0.9168550996046436,nonbreeding,0.3169318175821339,0.0509551240740141,0.0170737789338268,140.0,31.69318175821339,0.27135708616106774,fairly_common,27.135708616106776,,peak_abundance_with_occupancy_days_modifiers,0.3169318175821339
soulap1,VE,0.6287792517987585,0.7755304232213969,0.875319887990171,postbreeding_migration,0.4569851431019008,0.0606268319283016,0.0427984039197119,182.0,45.69851431019008,0.26222131505558455,fairly_common,26.222131505558455,,peak_abundance_with_occupancy_days_modifiers,0.4569851431019008
rugdov,VE,0.6060141400542707,0.8331102971218777,0.8331102971218777,resident,0.4324377714671057,0.0519499317464581,0.0626670062679435,365.0,43.24377714671057,0.2527275260637406,fairly_common,25.27275260637406,,peak_abundance_with_occupancy_days_modifiers,0.4324377714671057
grekis,VE,0.5656936721430188,0.7606686860401398,0.7606686860401398,resident,0.5393850378034503,0.0501651497365801,0.0517546620646594,365.0,53.93850378034502,0.23591258490736666,common,23.591258490736667,,peak_abundance_with_occupancy_days_modifiers,0.5393850378034503
saffin,VE,0.5402755657112354,0.7164797999960506,0.7164797999960506,resident,0.3511196124681623,0.0504326731186988,0.0499228157861041,365.0,35.11196124681623,0.225312411196644,fairly_common,22.5312411196644,,peak_abundance_with_occupancy_days_modifiers,0.3511196124681623
cargra1,VE,0.5344142933950796,0.706448471355954,0.706448471355954,resident,0.2563461069559855,0.5220690822610105,0.5862439152077035,365.0,25.634610695598546,0.22286807078584886,fairly_common,22.286807078584886,,peak_abundance_with_occupancy_days_modifiers,0.2563461069559855
pavpig2,VE,0.5307308614155706,0.7001744465506383,0.7001744465506383,resident,0.5956871808577923,0.0868882364007711,0.189091846265119,365.0,59.568718085779224,0.22133196033878563,common,22.133196033878562,,peak_abundance_with_occupancy_days_modifiers,0.5956871808577923
yercac1,VE,0.5299497233856897,0.6988468942013228,0.6988468942013228,resident,0.6118683799903205,0.0936604288487446,0.1024822674608005,365.0,61.18683799903205,0.221006200478152,common,22.1006200478152,,peak_abundance_with_occupancy_days_modifiers,0.6118683799903205
neocor,VE,0.5002796222322924,0.6491823542838754,0.6491823542838754,resident,0.1628326135670405,0.0638733766427658,0.0660557317850742,365.0,16.283261356704053,0.20863280724035138,fairly_common,20.86328072403514,,peak_abundance_with_occupancy_days_modifiers,0.1628326135670405
barswa,VE,0.49275082049866964,0.26357101285625567,0.6368126104197193,prebreeding_migration,0.3928280991409935,0.0107925741673921,0.0045095629876624,147.0,39.282809914099346,0.20549305304881968,fairly_common,20.54930530488197,,peak_abundance_with_occupancy_days_modifiers,0.3928280991409935
tromoc,VE,0.4835422477987322,0.6218090890312234,0.6218090890312234,resident,0.4305513418376557,0.3931226958022539,0.4941278513363211,365.0,43.05513418376557,0.20165277995416084,fairly_common,20.165277995416083,,peak_abundance_with_occupancy_days_modifiers,0.4305513418376557
scadov1,VE,0.47896337061720745,0.6144,0.6144,resident,0.4018,0.0774,0.1697,365.0,40.18,0.19974323985311157,fairly_common,19.974323985311155,,peak_abundance_with_occupancy_days_modifiers,0.4018
grrpar1,VE,0.46675640546045427,0.5948128683900792,0.5948128683900792,resident,0.3669117587870545,0.5633581598615808,0.8373228072130018,365.0,36.69117587870545,0.19465253998175833,fairly_common,19.465253998175832,,peak_abundance_with_occupancy_days_modifiers,0.3669117587870545
sibtan2,VE,0.45400688696497404,0.5746088417136175,0.5746088417136175,resident,0.6067805429597747,0.0746396536935771,0.0720174462965644,365.0,60.67805429597747,0.18933557779408058,common,18.93355777940806,,peak_abundance_with_occupancy_days_modifiers,0.6067805429597747
ywcpar,VE,0.45067050195153846,0.5693640944852694,0.5693640944852694,resident,0.4719270003962507,0.1417812496140418,0.2536233087321575,365.0,47.192700039625066,0.18794419717321553,fairly_common,18.794419717321553,,peak_abundance_with_occupancy_days_modifiers,0.4719270003962507
bugtan,VE,0.43186831183842933,0.5401322846170925,0.5401322846170925,resident,0.5608595017589871,0.1907946785443425,0.2880279782958012,365.0,56.08595017589872,0.18010307486633226,common,18.010307486633227,,peak_abundance_with_occupancy_days_modifiers,0.5608595017589871
ruvcha1,VE,0.43132023460969404,0.5392884044595273,0.5392884044595273,resident,0.5064976533221521,0.714783503025789,0.7746651799375277,365.0,50.64976533221521,0.17987450890894766,common,17.987450890894767,,peak_abundance_with_occupancy_days_modifiers,0.5064976533221521
magfri,VE,0.4260627092550337,0.5221944654619081,0.531216793587014,nonbreeding,0.0772262664661765,0.0573632442033135,0.0643161766481487,140.0,7.72262664661765,0.17768195053732005,fairly_common,17.768195053732004,,peak_abundance_with_occupancy_days_modifiers,0.0772262664661765
whtdov,VE,0.42504676549697334,0.529661953392162,0.529661953392162,resident,0.5592253892874937,0.0533907344365346,0.0548441033791679,365.0,55.92253892874937,0.1772582690823436,common,17.72582690823436,,peak_abundance_with_occupancy_days_modifiers,0.5592253892874937
bratea1,VE,0.41391227987261225,0.5127244246849167,0.5127244246849167,resident,0.4568505028669206,0.0214377778935994,0.0260174702996778,365.0,45.68505028669206,0.1726148279151374,fairly_common,17.261482791513743,,peak_abundance_with_occupancy_days_modifiers,0.4568505028669206
