species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
laugul,VG,2.378499290083802,3.7331499999999997,9.7887,breeding,0.9806,0.0027,0.0023,154.0,98.06,0.99191124694452,abundant,99.191124694452,,peak_abundance_with_occupancy_days_modifiers,0.9806
magfri,VG,1.792858864671356,2.6310749999999996,5.0066,postbreeding_migration,0.9223,0.0032,0.0034,140.0,92.23,0.7476802198200547,abundant,74.76802198200548,,peak_abundance_with_occupancy_days_modifiers,0.9223
brnpel,VG,1.0501570683987063,1.2507000000000001,1.8581,postbreeding_migration,0.9806,0.0031,0.0006,161.0,98.06,0.4379495136053883,common,43.79495136053883,,peak_abundance_with_occupancy_days_modifiers,0.9806
roster,VG,0.7534894095661071,0.7838666666666668,1.1244,prebreeding_migration,0.4369,,,,43.69,0.314229490384197,common,31.422949038419702,,peak_abundance_with_occupancy_days_modifiers,0.4369
grykin,VG,0.7044332525769128,0.8769,1.0227,postbreeding_migration,0.9709,0.0014,0.0027,112.0,97.09,0.29377148392091,common,29.377148392091,,peak_abundance_with_occupancy_days_modifiers,0.9709
semsan,VG,0.6747285950359273,0.364625,0.9635,postbreeding_migration,0.5728,0.0005,0.0001,105.0,57.28,0.2813836795501546,fairly_common,28.138367955015458,,peak_abundance_with_occupancy_days_modifiers,0.5728
royter1,VG,0.6638213511781166,0.6203500000000001,0.9422,breeding,0.7961,0.0035,0.002,126.0,79.61,0.2768350055602844,fairly_common,27.68350055602844,,peak_abundance_with_occupancy_days_modifiers,0.7961
santer1,VG,0.575095358783809,0.29405,0.7773,breeding,0.8058,0.0018,0.0005,77.0,80.58,0.23983339277059676,fairly_common,23.983339277059677,,peak_abundance_with_occupancy_days_modifiers,0.8058
whcpin,VG,0.5645748997601815,0.34155,0.7587,prebreeding_migration,0.7282,0.0006,0.001,105.0,72.82,0.23544602058509265,fairly_common,23.544602058509266,,peak_abundance_with_occupancy_days_modifiers,0.7282
barswa,VG,0.5508921329790741,0.21492499999999998,0.7348,postbreeding_migration,0.6602,0.0,0.0,154.0,66.02,0.22973986363306714,fairly_common,22.973986363306715,,peak_abundance_with_occupancy_days_modifiers,0.6602
