species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
laugul,VI,2.1450888229156906,3.689133333333334,7.5428,breeding,0.7059,0.0023,0.0021,140.0,70.59,0.8945715216379522,abundant,89.45715216379521,,peak_abundance_with_occupancy_days_modifiers,0.7059
banana,VI,0.9757664586692639,1.6532,1.6532,resident,0.6387,0.0001,0.0009,365.0,63.870000000000005,0.4069262197304111,common,40.69262197304111,,peak_abundance_with_occupancy_days_modifiers,0.6387
zendov,VI,0.9472078345088766,1.5785,1.5785,resident,0.6975,0.007,0.0274,365.0,69.75,0.3950163484010185,common,39.50163484010185,,peak_abundance_with_occupancy_days_modifiers,0.6975
semsan,VI,0.8966184960766344,0.465625,1.4513,postbreeding_migration,0.5462,0.0004,0.0001,133.0,54.620000000000005,0.37391895561405,common,37.391895561405,,peak_abundance_with_occupancy_days_modifiers,0.5462
brnpel,VI,0.872297046188265,1.077275,1.3924,postbreeding_migration,0.8151,0.003,0.0007,161.0,81.51,0.3637761232041984,common,36.377612320419836,,peak_abundance_with_occupancy_days_modifiers,0.8151
magfri,VI,0.8303406097361521,1.184025,1.2941,breeding,0.8319,0.0031,0.001,140.0,83.19,0.3462789301749344,common,34.62789301749344,,peak_abundance_with_occupancy_days_modifiers,0.8319
grykin,VI,0.8252713334869864,1.2510249999999998,1.2825,nonbreeding,0.7059,0.0025,0.005,112.0,70.59,0.34416487777795457,common,34.41648777779546,,peak_abundance_with_occupancy_days_modifiers,0.7059
leater1,VI,0.8161167429036288,0.7950333333333334,1.2617,breeding,0.2353,0.0025,0.0058,105.0,23.53,0.3403471169744672,common,34.03471169744672,,peak_abundance_with_occupancy_days_modifiers,0.2353
categr1,VI,0.7795228495003093,0.7651052085406271,1.1804316232078953,nonbreeding,0.3333333333333333,2.102639910116715e-05,1.8776150339270883e-05,140.0,33.33333333333333,0.32508627809695684,common,32.50862780969568,,peak_abundance_with_occupancy_days_modifiers,0.3333333333333333
whwdov,VI,0.6770686103472546,0.4751,0.9681,breeding,0.7395,0.0003,0.0002,119.0,73.95,0.28235954173140676,fairly_common,28.235954173140676,,peak_abundance_with_occupancy_days_modifiers,0.7395
peethr1,VI,0.646003160751128,0.9079,0.9079,resident,0.5462,0.047,0.0979,365.0,54.620000000000005,0.26940424299566473,common,26.940424299566473,,peak_abundance_with_occupancy_days_modifiers,0.5462
royter1,VI,0.5504308783583501,0.587075,0.734,postbreeding_migration,0.6387,0.0034,0.002,126.0,63.870000000000005,0.22954750551553116,fairly_common,22.954750551553115,,peak_abundance_with_occupancy_days_modifiers,0.6387
barswa,VI,0.5442410573053944,0.258,0.7233,postbreeding_migration,0.7647,0.0,0.0,154.0,76.47,0.22696614963932887,fairly_common,22.696614963932888,,peak_abundance_with_occupancy_days_modifiers,0.7647
scnpig1,VI,0.47815779350160503,0.6131,0.6131,resident,0.479,0.0072,0.0093,365.0,47.9,0.19940728810211528,fairly_common,19.940728810211528,,peak_abundance_with_occupancy_days_modifiers,0.479
bkfgra,VI,0.4646141319612974,0.5914,0.5914,resident,0.5966,0.0064,0.0084,365.0,59.660000000000004,0.19375914254132026,common,19.375914254132027,,peak_abundance_with_occupancy_days_modifiers,0.5966
roster,VI,0.45031099589999946,0.28286666666666666,0.5688,breeding,0.4874,,,,48.74,0.18779427150481073,fairly_common,18.779427150481073,,peak_abundance_with_occupancy_days_modifiers,0.4874
santer1,VI,0.3981047537018719,0.2675666666666667,0.489,breeding,0.5462,0.0014,0.0004,105.0,54.620000000000005,0.16602257747365218,fairly_common,16.60225774736522,,peak_abundance_with_occupancy_days_modifiers,0.5462
whcpig2,VI,0.39581873105635895,0.4856,0.4856,resident,0.2857,0.0046,0.0053,365.0,28.57,0.165069231982944,fairly_common,16.5069231982944,,peak_abundance_with_occupancy_days_modifiers,0.2857
bknsti,VI,0.38260581396208176,0.39492499999999997,0.4661,nonbreeding,0.1429,0.0001,0.0001,140.0,14.29,0.15955901756942723,fairly_common,15.955901756942723,,peak_abundance_with_occupancy_days_modifiers,0.1429
rudtur,VI,0.32786386208461277,0.18510000000000001,0.388,postbreeding_migration,0.4538,0.0002,0.0003,119.0,45.379999999999995,0.1367298504667353,fairly_common,13.67298504667353,,peak_abundance_with_occupancy_days_modifiers,0.4538
