species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,VN,1.4627228530694627,2.05435,3.3177,nonbreeding,0.6946,0.0063,0.0126,154.0,69.46,0.6100028094064546,common,61.00028094064546,,peak_abundance_with_occupancy_days_modifiers,0.6946
categr2,VN,1.1708452511781509,1.575461900392584,2.224717182902168,nonbreeding,0.351626331874845,0.0260108709490987,0.021788463746651,126.0,35.1626331874845,0.4882803950865466,common,48.828039508654655,,peak_abundance_with_occupancy_days_modifiers,0.351626331874845
whiter2,VN,0.9778300540272834,0.7873150355630406,1.658680784319478,nonbreeding,0.3065739752597479,0.0227718147006507,0.0377306471966306,126.0,30.65739752597479,0.407786805837498,common,40.7786805837498,,peak_abundance_with_occupancy_days_modifiers,0.3065739752597479
litegr,VN,0.9165706926814708,1.15905,1.5007,nonbreeding,0.351,0.0107,0.0433,84.0,35.099999999999994,0.38223966787833175,common,38.22396678783318,,peak_abundance_with_occupancy_days_modifiers,0.351
asiope1,VN,0.7732975747427738,1.1669,1.1669,resident,0.1484,0.0272,0.0687,365.0,14.84,0.3224901368775488,common,32.24901368775488,,peak_abundance_with_occupancy_days_modifiers,0.1484
zebdov,VN,0.7005824358366367,1.0149259308439338,1.0149259308439338,resident,0.3734399376419721,0.0629427666212551,0.0650391733345129,365.0,37.34399376419721,0.29216556860677617,common,29.216556860677617,,peak_abundance_with_occupancy_days_modifiers,0.3734399376419721
bkwsti,VN,0.6612952511107631,0.71935,0.9373,nonbreeding,0.1586,0.0058,0.027,105.0,15.86,0.27578154000821903,fairly_common,27.578154000821904,,peak_abundance_with_occupancy_days_modifiers,0.1586
yevbul1,VN,0.6195516350127815,0.8580947504219288,0.8580947504219288,resident,0.3370207593306186,0.0372663639756088,0.0439949727160253,365.0,33.702075933061856,0.25837309996018215,fairly_common,25.837309996018217,,peak_abundance_with_occupancy_days_modifiers,0.3370207593306186
spodov,VN,0.5575565262535971,0.7464,0.7464,resident,0.5884,0.0312,0.0271,365.0,58.84,0.23251913149773312,common,23.251913149773312,,peak_abundance_with_occupancy_days_modifiers,0.5884
recdov1,VN,0.5297455086185016,0.561525,0.6985,postbreeding_migration,0.2583,,,,25.83,0.22092103630542742,fairly_common,22.09210363054274,,peak_abundance_with_occupancy_days_modifiers,0.2583
