species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
chemun,VU,1.3855090466992814,2.9968599754322263,2.9968599754322263,resident,0.6963350785340314,0.0111617758133549,0.0174378851247594,365.0,69.63350785340315,0.577802151084929,common,57.780215108492904,,peak_abundance_with_occupancy_days_modifiers,0.6963350785340314
silver3,VU,0.94179673055362,1.5645851497542431,1.5645851497542431,resident,0.6272806255430061,0.0121188723741743,0.0111460220200423,365.0,62.728062554300614,0.39275974277831266,common,39.27597427783127,,peak_abundance_with_occupancy_days_modifiers,0.6272806255430061
commyn,VU,0.661283965485113,0.9372781364808,0.9372781364808,resident,0.2634408602150537,0.000567451448159257,0.0005751060409035634,365.0,26.34408602150537,0.2757768335367654,fairly_common,27.57768335367654,,peak_abundance_with_occupancy_days_modifiers,0.2634408602150537
comwax,VU,0.5426921112679429,0.7206327675265216,0.7206327675265216,resident,0.3154761904761904,0.0003049359346861749,0.0011172326614825,365.0,31.54761904761904,0.2263201889691434,fairly_common,22.632018896914342,,peak_abundance_with_occupancy_days_modifiers,0.3154761904761904
whbwoo4,VU,0.47029627855155587,0.4898136114363164,0.6004683074108895,postbreeding_migration,0.535042735042735,0.0058512328715906,0.0090711883686712,217.0,53.504273504273506,0.19612878172227877,common,19.612878172227877,,peak_abundance_with_occupancy_days_modifiers,0.535042735042735
gryfan1,VU,0.45344258045902397,0.3533477121719149,0.5737205303634221,prebreeding_migration,0.5651930609960828,0.0084414870215574,0.0060998921048687,133.0,56.51930609960828,0.189100243702408,fairly_common,18.910024370240798,,peak_abundance_with_occupancy_days_modifiers,0.5651930609960828
blnter1,VU,0.3647077138435103,0.4400930273728292,0.4400930273728292,prebreeding_migration,0.2131147540983606,9.607028206234814e-05,0.00010198350731503964,14.0,21.31147540983606,0.15209493007502878,rare,15.209493007502878,rare,peak_abundance_with_occupancy_days_modifiers,0.2131147540983606
bubrai1,VU,0.20903505605868358,0.2324882039517491,0.2324882039517491,resident,0.4843614248479583,0.016114113940515,0.1045005069867224,365.0,48.43614248479583,0.0871743893196542,fairly_common,8.71743893196542,,peak_abundance_with_occupancy_days_modifiers,0.4843614248479583
pagplo,VU,0.19364936526209783,0.10733499568361587,0.2136706532489119,nonbreeding,0.1185647425897035,0.0008449889929065397,0.0007723913518526238,112.0,11.85647425897035,0.08075805789304003,fairly_common,8.075805789304003,,peak_abundance_with_occupancy_days_modifiers,0.1185647425897035
pacswa1,VU,0.1573508853361639,0.1704062202388661,0.1704062202388661,resident,0.1020851433536055,0.001323637920255,0.0013043013540917,365.0,10.20851433536055,0.06562041600446279,uncommon,6.562041600446279,,peak_abundance_with_occupancy_days_modifiers,0.1020851433536055
grcter1,VU,0.15381406577055817,0.09179446584429436,0.1662740163566976,breeding,0.3292788879235447,0.0081552729541884,0.0008885552138319408,238.0,32.92788879235447,0.06414544768298218,uncommon,6.414544768298218,,peak_abundance_with_occupancy_days_modifiers,0.3292788879235447
swahar1,VU,0.113210239604961,0.09091824295999065,0.1198673486698578,breeding,0.5032035485460818,0.0307901085645355,0.0195836914892103,119.0,50.32035485460818,0.047212336956168804,uncommon,4.72123369561688,,peak_abundance_with_occupancy_days_modifiers,0.5032035485460818
brogos1,VU,0.06478544021027419,0.0669300795303749,0.0669300795303749,resident,0.3508196721311475,0.0002276353579406446,0.0008744126588261785,365.0,35.08196721311475,0.02701762706036316,uncommon,2.701762706036316,,peak_abundance_with_occupancy_days_modifiers,0.3508196721311475
pacreh1,VU,0.061034135895625195,0.0629351978128736,0.0629351978128736,resident,0.1409561360275998,0.0055369484831471,0.0052947280799167,365.0,14.095613602759979,0.025453211651065007,uncommon,2.545321165106501,,peak_abundance_with_occupancy_days_modifiers,0.1409561360275998
houspa,VU,0.057476055448367605,0.0591599092419658,0.0591599092419658,resident,0.0386904761904761,8.059346548181873e-06,2.196455150051923e-06,365.0,3.86904761904761,0.02396937685326536,rare,2.3969376853265363,rare,peak_abundance_with_occupancy_days_modifiers,0.0386904761904761
ausgre1,VU,0.0534405921551939,0.054894320907936,0.054894320907936,resident,0.1517857142857142,0.0011315731084978,0.0007268415703255019,365.0,15.17857142857142,0.02228645794560833,uncommon,2.228645794560833,,peak_abundance_with_occupancy_days_modifiers,0.1517857142857142
rudtur,VU,0.04886833830636396,0.024833563074575068,0.0500820860522399,nonbreeding,0.0998439937597504,0.0009181550821318412,0.0003557826097224685,84.0,9.98439937597504,0.02037967998883209,uncommon,2.037967998883209,,peak_abundance_with_occupancy_days_modifiers,0.0998439937597504
