species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
wantat1,WF,0.6645419235496108,0.45122500000000004,0.9436,nonbreeding,0.4754,0.004,0.0254,70.0,47.54,0.2771355075795629,fairly_common,27.71355075795629,,peak_abundance_with_occupancy_days_modifiers,0.4754
pagplo,WF,0.6283419571938297,0.36005000000000004,0.8745,postbreeding_migration,0.3115,0.0001,0.0003,42.0,31.15,0.26203894904073416,fairly_common,26.203894904073415,,peak_abundance_with_occupancy_days_modifiers,0.3115
bubrai1,WF,0.37142561588464035,0.4498,0.4498,resident,0.541,0.0006,0.0056,365.0,54.1,0.1548965128285951,common,15.48965128285951,,peak_abundance_with_occupancy_days_modifiers,0.541
rudtur,WF,0.23015888620811473,0.13085,0.2588,postbreeding_migration,0.1311,,,,13.11,0.09598371072291105,fairly_common,9.598371072291105,,peak_abundance_with_occupancy_days_modifiers,0.1311
pacreh1,WF,0.22178262567486823,0.2483,0.2483,resident,1.0,0.0008,0.001,365.0,100.0,0.09249053876153873,common,9.249053876153873,,peak_abundance_with_occupancy_days_modifiers,1.0
grcter1,WF,0.2192158479762298,0.1253,0.2451,nonbreeding,0.3443,0.0004,0.0,140.0,34.43,0.09142010931962116,fairly_common,9.142010931962115,,peak_abundance_with_occupancy_days_modifiers,0.3443
batgod,WF,0.16288386290147952,0.1769,0.1769,postbreeding_migration,0.1148,0.0001,0.0001,21.0,11.48,0.0679278468702231,rare,6.79278468702231,rare,peak_abundance_with_occupancy_days_modifiers,0.1148
sooshe,WF,0.12746781071091726,0.0745455859657853,0.1359483022843637,postbreeding_migration,0.4193548387096774,1.282788450074628e-05,1.8394373911563318e-07,7.0,41.93548387096774,0.053158205930387,very_rare,5.3158205930386995,very_rare,peak_abundance_with_occupancy_days_modifiers,0.4193548387096774
blnter1,WF,0.07594200357515736,0.05006666666666667,0.0789,breeding,0.3443,,,,34.43,0.03167027536049652,uncommon,3.167027536049652,,peak_abundance_with_occupancy_days_modifiers,0.3443
brnowl,WF,0.019214218923804288,0.0194,0.0194,resident,0.3443,,,,34.43,0.008012951667143145,rare,0.8012951667143146,,peak_abundance_with_occupancy_days_modifiers,0.3443
