species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
revbul,WS,0.8085273316000183,1.2446,1.2446,resident,0.4499,0.0005,0.0004,365.0,44.99,0.33718208662902033,common,33.718208662902036,,peak_abundance_with_occupancy_days_modifiers,0.4499
junmyn1,WS,0.7483926547859238,1.1136,1.1136,resident,0.546,0.0038,0.0063,365.0,54.6,0.3121039785497142,common,31.210397854971422,,peak_abundance_with_occupancy_days_modifiers,0.546
pagplo,WS,0.709315761721529,0.51425,1.0326,nonbreeding,0.8078,0.0013,0.003,119.0,80.78,0.29580764838564005,common,29.580764838564004,,peak_abundance_with_occupancy_days_modifiers,0.8078
bubrai1,WS,0.5141401247338205,0.6722,0.6722,resident,0.5787,0.0056,0.0671,365.0,57.87,0.21441308574490547,common,21.44130857449055,,peak_abundance_with_occupancy_days_modifiers,0.5787
commyn,WS,0.4684399072695528,0.5975,0.5975,resident,0.409,0.0003,0.0002,365.0,40.9,0.1953546147671738,fairly_common,19.53546147671738,,peak_abundance_with_occupancy_days_modifiers,0.409
wantat1,WS,0.26205652481280817,0.14023333333333335,0.2996,postbreeding_migration,0.7014,0.0289,0.0334,126.0,70.14,0.10928605923101269,fairly_common,10.92860592310127,,peak_abundance_with_occupancy_days_modifiers,0.7014
rocpig,WS,0.23625719045959287,0.2665,0.2665,resident,0.2986,0.0001,0.0,365.0,29.86,0.09852690112853763,fairly_common,9.852690112853763,,peak_abundance_with_occupancy_days_modifiers,0.2986
redjun,WS,0.16364829152833335,0.1778,0.1778,resident,0.726,0.0022,0.0024,365.0,72.6,0.06824663836855306,fairly_common,6.824663836855306,,peak_abundance_with_occupancy_days_modifiers,0.726
pacreh1,WS,0.09467361360268103,0.0993,0.0993,resident,0.9018,0.0061,0.0033,365.0,90.18,0.0394819634855011,fairly_common,3.94819634855011,,peak_abundance_with_occupancy_days_modifiers,0.9018
grcter1,WS,0.0800119379693847,0.041800000000000004,0.0833,nonbreeding,0.1861,0.0016,0.0002,91.0,18.61,0.03336756983386093,uncommon,3.3367569833860933,,peak_abundance_with_occupancy_days_modifiers,0.1861
blnter1,WS,0.04142980976313955,0.023999999999999997,0.0423,breeding,0.3272,,,,32.72,0.017277572641773677,rare,1.7277572641773677,,peak_abundance_with_occupancy_days_modifiers,0.3272
rudtur,WS,0.03854740961223893,0.02035,0.0393,nonbreeding,0.0389,0.0002,0.0003,56.0,3.8899999999999997,0.016075518413801934,rare,1.6075518413801935,rare,peak_abundance_with_occupancy_days_modifiers,0.0389
pabduc1,WS,0.023130417388854383,0.0234,0.0234,resident,0.0777,0.0003,0.0001,365.0,7.7700000000000005,0.009646133278314949,rare,0.9646133278314949,,peak_abundance_with_occupancy_days_modifiers,0.0777
brnowl,WS,0.012916225266546328,0.013,0.013,resident,0.2699,,,,26.99,0.005386484311082047,rare,0.5386484311082047,,peak_abundance_with_occupancy_days_modifiers,0.2699
