species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
houspa,YE,1.4591610214952189,3.3023484358847592,3.3023484358847592,resident,0.4284793867225503,0.013609343568171,0.0186951616042225,365.0,42.84793867225503,0.6085174102671972,common,60.85174102671972,,peak_abundance_with_occupancy_days_modifiers,0.4284793867225503
steeag1,YE,1.03787865575337,1.0741908081505942,1.823221632498416,nonbreeding,0.9348667284707104,0.0643985976934778,0.1618745294633398,84.0,93.48667284707103,0.43282901781701,common,43.282901781701,,peak_abundance_with_occupancy_days_modifiers,0.9348667284707104
eubeat1,YE,0.9438458402011127,1.1267646308305395,1.5698456537605037,postbreeding_migration,0.7340169342021542,0.0174950592475361,0.0210464360535157,70.0,73.40169342021542,0.393614287874897,common,39.3614287874897,,peak_abundance_with_occupancy_days_modifiers,0.7340169342021542
barswa,YE,0.885734067963903,0.6265700447085208,1.4247636796837106,postbreeding_migration,0.8535299979279654,0.008871856852133,0.0028758782281186,126.0,85.35299979279654,0.36937979652891234,common,36.93797965289124,,peak_abundance_with_occupancy_days_modifiers,0.8535299979279654
categr1,YE,0.801866501869278,0.5085290051949833,1.229698783911004,breeding,0.1451934520985463,0.0023729670595713,0.0060905633391325,105.0,14.519345209854631,0.33440430487753986,common,33.440430487753986,,peak_abundance_with_occupancy_days_modifiers,0.1451934520985463
banswa,YE,0.683245458988878,0.327461278872697,0.9802942781456456,postbreeding_migration,0.823764060872478,0.0246056325493006,0.0158097314830868,70.0,82.3764060872478,0.28493548769188853,fairly_common,28.493548769188852,,peak_abundance_with_occupancy_days_modifiers,0.823764060872478
eucdov,YE,0.6771578319018613,0.9682756047753704,0.9682756047753704,resident,0.1219187477954697,0.0007050638412731824,0.0022160158776095,365.0,12.19187477954697,0.28239675000969094,fairly_common,28.239675000969093,,peak_abundance_with_occupancy_days_modifiers,0.1219187477954697
renpha,YE,0.49131674798404934,0.3670742607634487,0.634466984744182,nonbreeding,0.0174138890373068,0.00045697206324590085,0.0008077106767005224,49.0,1.7413889037306798,0.20489499835857183,rare,20.489499835857185,rare,peak_abundance_with_occupancy_days_modifiers,0.0174138890373068
crelar1,YE,0.44919927915083546,0.43792069815449686,0.5670569078558035,breeding,0.3756074781741023,0.0156572400682467,0.0067660569101157,161.0,37.56074781741023,0.18733064961032045,fairly_common,18.733064961032046,,peak_abundance_with_occupancy_days_modifiers,0.3756074781741023
comswi,YE,0.43161277858175956,0.5397387798776171,0.5397387798776171,postbreeding_migration,0.6233306095134564,0.0123855593377591,0.008636578124438,49.0,62.333060951345644,0.17999650922121485,fairly_common,17.999650922121486,,peak_abundance_with_occupancy_days_modifiers,0.6233306095134564
lbbgul,YE,0.4002475702459576,0.3754590618344141,0.4921940747700977,nonbreeding,0.0320119311889595,0.0175233134949047,0.0407599091715971,84.0,3.20119311889595,0.1669162013814157,rare,16.69162013814157,rare,peak_abundance_with_occupancy_days_modifiers,0.0320119311889595
afcdov1,YE,0.39060938944763085,0.43301699413170003,0.4778811246909732,breeding,0.3847105926923856,0.2204138251315886,0.221944757216393,182.0,38.47105926923856,0.16289676779411022,fairly_common,16.28967677941102,,peak_abundance_with_occupancy_days_modifiers,0.3847105926923856
whisto1,YE,0.36280522557850586,0.26780543893799624,0.4373558718164861,nonbreeding,0.058895423931475,0.0083029382735745,0.0315528894982859,49.0,5.8895423931475,0.1513015308442174,fairly_common,15.13015308442174,,peak_abundance_with_occupancy_days_modifiers,0.058895423931475
eutdov,YE,0.335234952467903,0.25890894022565086,0.3982688733539938,postbreeding_migration,0.2063342714836946,0.0105004634058839,0.0406676762469302,21.0,20.63342714836946,0.13980383391668316,rare,13.980383391668315,rare,peak_abundance_with_occupancy_days_modifiers,0.2063342714836946
