species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
categr1,YT,2.05763590903028,2.54606872264828,6.827443131946382,breeding,0.6761904761904762,6.490757983403771e-05,0.0002724283897930769,133.0,67.61904761904762,0.8581008238233004,abundant,85.81008238233004,,peak_abundance_with_occupancy_days_modifiers,0.6761904761904762
whimbr,YT,1.19364757716238,1.2763368586226116,2.299092983348029,postbreeding_migration,0.7714285714285715,0.0008773320649014323,0.0012250162982186,112.0,77.14285714285715,0.4977897036217848,common,49.778970362178484,,peak_abundance_with_occupancy_days_modifiers,0.7714285714285715
cursan,YT,1.161976652357178,1.7063506075314114,2.1962449011348544,postbreeding_migration,0.3619047619047619,0.0007543719282203681,0.0013261154079975,42.0,36.19047619047619,0.484581902111654,common,48.458190211165395,,peak_abundance_with_occupancy_days_modifiers,0.3619047619047619
litegr,YT,0.9933513185347669,1.137648738565899,1.7002687862941197,breeding,0.3047619047619048,5.3126245146370616e-05,0.0001410038891734698,84.0,30.476190476190478,0.41425967589298207,common,41.42596758929821,,peak_abundance_with_occupancy_days_modifiers,0.3047619047619048
commyn,YT,0.9868553455466859,1.6827847625528063,1.6827847625528063,resident,0.6761904761904762,0.00011746079539156632,8.326957127209754e-05,365.0,67.61904761904762,0.41155064474313535,common,41.155064474313534,,peak_abundance_with_occupancy_days_modifiers,0.6761904761904762
commoo3,YT,0.7090205297162355,0.5574,1.032,nonbreeding,0.901,0.0001,0.0002,168.0,90.10000000000001,0.29568452707644755,common,29.568452707644756,,peak_abundance_with_occupancy_days_modifiers,0.901
piecro1,YT,0.6433264855759894,0.9028,0.9028,resident,0.7525,0.0001,0.0002,365.0,75.25,0.26828798274631077,common,26.828798274631076,,peak_abundance_with_occupancy_days_modifiers,0.7525
rudtur,YT,0.6025312047540097,0.8267367982438633,0.8267367982438633,postbreeding_migration,0.580952380952381,0.00036624538440755306,0.0006909260923673038,77.0,58.0952380952381,0.25127502922629685,fairly_common,25.127502922629684,,peak_abundance_with_occupancy_days_modifiers,0.580952380952381
grcter1,YT,0.5821107837530186,0.5555851631753501,0.7898123532178856,breeding,0.7523809523809524,0.0008499558883652874,0.0001925164896486209,126.0,75.23809523809524,0.2427590522223636,fairly_common,24.27590522223636,,peak_abundance_with_occupancy_days_modifiers,0.7523809523809524
broman1,YT,0.5110891620531647,0.6671059550273986,0.6671059550273986,resident,0.6190476190476191,0.00017542865316675708,0.00016811473246214245,365.0,61.904761904761905,0.2131407354820454,common,21.31407354820454,,peak_abundance_with_occupancy_days_modifiers,0.6190476190476191
