species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,ZA,2.569310665469444,8.670119279409745,12.056820820586976,nonbreeding,0.84849492400822,0.0650738831751252,0.1286154737281409,112.0,84.849492400822,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.84849492400822
rindov,ZA,1.3811309214796035,2.979399471999685,2.979399471999685,resident,0.9252056396218932,0.1599127271256805,0.140121794731504,365.0,92.52056396218931,0.575976331054612,common,57.5976331054612,,peak_abundance_with_occupancy_days_modifiers,0.9252056396218932
socwea1,ZA,1.318329686025423,2.7371739072924006,2.7371739072924006,resident,0.4606196734892681,0.3805619816974384,0.4176784677284348,365.0,46.06196734892681,0.5497861816487579,common,54.97861816487579,,peak_abundance_with_occupancy_days_modifiers,0.4606196734892681
helgui,ZA,1.0566056965867405,1.876590378937108,1.876590378937108,resident,0.5628744131964168,0.1482820899408358,0.2134790811843587,365.0,56.28744131964169,0.44063880044004994,common,44.063880044004996,,peak_abundance_with_occupancy_days_modifiers,0.5628744131964168
sooshe,ZA,0.9915778693004061,0.6012274084269356,1.6954842405110246,nonbreeding,0.040875787376821,0.0006716397688165592,0.0011075559774744,112.0,4.0875787376821,0.4135200901177072,rare,41.35200901177072,rare,peak_abundance_with_occupancy_days_modifiers,0.040875787376821
capspa1,ZA,0.9831025829192687,1.6727357756831889,1.6727357756831889,resident,0.6115718110680224,0.6540985384080059,0.6779726337610745,365.0,61.15718110680224,0.40998562117017606,common,40.998562117017606,,peak_abundance_with_occupancy_days_modifiers,0.6115718110680224
categr1,ZA,0.8200595307264814,0.7814684090173357,1.2706350060605105,nonbreeding,0.3269249867143745,0.0412760313051853,0.0452237007640215,140.0,32.69249867143745,0.34199138720910977,common,34.19913872091097,,peak_abundance_with_occupancy_days_modifiers,0.3269249867143745
combul2,ZA,0.7190957965186953,1.05257642456544,1.05257642456544,resident,0.4906002373200647,0.0368716905051132,0.0343171616309643,365.0,49.06002373200647,0.29988623968531464,common,29.988623968531464,,peak_abundance_with_occupancy_days_modifiers,0.4906002373200647
bkbalb,ZA,0.668772400276409,0.4861176509957059,0.9518397713578036,nonbreeding,0.0337092532263394,0.0010800238115486,0.0022688898589911,70.0,3.37092532263394,0.2788997534058041,rare,27.88997534058041,rare,peak_abundance_with_occupancy_days_modifiers,0.0337092532263394
whcpet1,ZA,0.6565264057147432,0.4654219986213946,0.9280833097667534,nonbreeding,0.0220430309761493,0.0069632995327016,0.0048259027588449,112.0,2.20430309761493,0.2737927770083843,rare,27.37927770083843,rare,peak_abundance_with_occupancy_days_modifiers,0.0220430309761493
spepig1,ZA,0.6532325634188055,0.9217429552073794,0.9217429552073794,resident,0.6685215710683132,0.221277627128317,0.2612816545851665,365.0,66.85215710683133,0.27241913807873513,common,27.241913807873512,,peak_abundance_with_occupancy_days_modifiers,0.6685215710683132
egygoo,ZA,0.6509717109671048,0.91740308568647,0.91740308568647,resident,0.2910025838833434,0.3489851781726779,0.4818200796043256,365.0,29.10025838833434,0.271476289374145,fairly_common,27.1476289374145,,peak_abundance_with_occupancy_days_modifiers,0.2910025838833434
eubeat1,ZA,0.6320621716948783,0.7353468589268974,0.8814865297190088,nonbreeding,0.771447965623046,0.1532883593283976,0.1623787548949205,105.0,77.14479656230459,0.26359039899071773,fairly_common,26.359039899071774,,peak_abundance_with_occupancy_days_modifiers,0.771447965623046
greshe,ZA,0.6244401445687484,0.46542461022720766,0.8672003025211431,postbreeding_migration,0.0309222677233743,0.0022747353057468,0.0050926209503879,42.0,3.09222677233743,0.2604117667908073,rare,26.04117667908073,rare,peak_abundance_with_occupancy_days_modifiers,0.0309222677233743
litswi1,ZA,0.5761076184585927,0.5781000000000001,0.7791,nonbreeding,0.8278,0.0849,0.1256,84.0,82.78,0.24025553784351422,fairly_common,24.025553784351423,,peak_abundance_with_occupancy_days_modifiers,0.8278
comswi,ZA,0.5686491251248001,0.38614665990609415,0.7658799565975392,nonbreeding,0.9071017230941112,0.1488334311223481,0.1091864162766869,70.0,90.71017230941112,0.23714510453210086,fairly_common,23.714510453210085,,peak_abundance_with_occupancy_days_modifiers,0.9071017230941112
amufal1,ZA,0.498758505283596,0.3785717929525633,0.6466756620226565,nonbreeding,0.4414985478498385,0.3120723548910177,0.4455103960980004,77.0,44.14985478498385,0.2079984522016006,fairly_common,20.79984522016006,,peak_abundance_with_occupancy_days_modifiers,0.4414985478498385
whcalb1,ZA,0.4722990317404885,0.34200526689551747,0.6036768623166622,nonbreeding,0.042733777712131,0.003441752086963,0.003845264954174,140.0,4.2733777712131005,0.19696399467409192,rare,19.696399467409194,rare,peak_abundance_with_occupancy_days_modifiers,0.042733777712131
comwax,ZA,0.4602536207552396,0.5844757899858004,0.5844757899858004,resident,0.5291302505184663,0.208359514669646,0.3691516995733766,365.0,52.91302505184663,0.1919406681252257,common,19.19406681252257,,peak_abundance_with_occupancy_days_modifiers,0.5291302505184663
wbswea1,ZA,0.45831053065468963,0.5814,0.5814,resident,0.5294,0.2,0.2196,365.0,52.94,0.19113033661384052,common,19.11303366138405,,peak_abundance_with_occupancy_days_modifiers,0.5294
hadibi1,ZA,0.45716456064101657,0.5795888010084567,0.5795888010084567,resident,0.422704404821403,0.3494413364520244,0.608813603713161,365.0,42.270440482140295,0.190652429998538,fairly_common,19.065242999853798,,peak_abundance_with_occupancy_days_modifiers,0.422704404821403
reedov1,ZA,0.4240793503945393,0.5281828508852401,0.5281828508852401,resident,0.4479042141322584,0.0762866197734765,0.0935547819545146,365.0,44.790421413225836,0.17685482564867566,fairly_common,17.685482564867566,,peak_abundance_with_occupancy_days_modifiers,0.4479042141322584
blaplo1,ZA,0.4118703038517326,0.5096386293158137,0.5096386293158137,resident,0.3206772182723382,0.308408093257226,0.3443872144514675,365.0,32.06772182723382,0.171763257771919,fairly_common,17.1763257771919,,peak_abundance_with_occupancy_days_modifiers,0.3206772182723382
bubcor1,ZA,0.40278607063346705,0.49598682191549,0.49598682191549,resident,0.2822382129951349,0.096346806723063,0.1146999648414735,365.0,28.223821299513492,0.16797483826865012,fairly_common,16.79748382686501,,peak_abundance_with_occupancy_days_modifiers,0.2822382129951349
soufis1,ZA,0.37465102843759635,0.4544837525759181,0.4544837525759181,resident,0.7336732745475442,0.6300633016284481,0.821307917134228,365.0,73.36732745475442,0.15624161433888412,common,15.624161433888412,,peak_abundance_with_occupancy_days_modifiers,0.7336732745475442
fotdro5,ZA,0.356554105361558,0.4283988124621606,0.4283988124621606,resident,0.466556333758661,0.075833859157858,0.0767094377664258,365.0,46.6556333758661,0.14869461123106323,fairly_common,14.869461123106323,,peak_abundance_with_occupancy_days_modifiers,0.466556333758661
cappet,ZA,0.3490005039503602,0.4176499047669863,0.4176499047669863,nonbreeding,0.0228267384052377,0.0024719924690461,0.0020854046612095,14.0,2.28267384052377,0.14554451477068586,rare,14.554451477068586,rare,peak_abundance_with_occupancy_days_modifiers,0.0228267384052377
grygab1,ZA,0.33494208577634865,0.3978594269346868,0.3978594269346868,resident,0.3074690854271639,0.1065251443937216,0.131284151158227,365.0,30.74690854271639,0.13968169901993566,fairly_common,13.968169901993566,,peak_abundance_with_occupancy_days_modifiers,0.3074690854271639
bokmak1,ZA,0.31594243154423346,0.3715512952631786,0.3715512952631786,resident,0.6435398366864099,0.729609121481436,0.8589181153618354,365.0,64.35398366864099,0.1317582277792829,common,13.175822777928289,,peak_abundance_with_occupancy_days_modifiers,0.6435398366864099
rekcoo1,ZA,0.3068962913755853,0.3592,0.3592,resident,0.1625,0.7448,0.8212,365.0,16.25,0.1279856943115926,fairly_common,12.79856943115926,,peak_abundance_with_occupancy_days_modifiers,0.1625
piecro1,ZA,0.3066755489443147,0.3589,0.3589,resident,0.8377,0.1458,0.1209,365.0,83.77,0.12789363756759103,common,12.789363756759103,,peak_abundance_with_occupancy_days_modifiers,0.8377
sacibi2,ZA,0.2915514598097415,0.3385025108027794,0.3385025108027794,resident,0.124931879982068,0.2114078338449713,0.3605717308484929,365.0,12.4931879982068,0.1215864025076865,fairly_common,12.15864025076865,,peak_abundance_with_occupancy_days_modifiers,0.124931879982068
rewsta1,ZA,0.29097552196362664,0.337731838500664,0.337731838500664,resident,0.2094117764616868,0.3466664961066107,0.5758718488089641,365.0,20.94117764616868,0.12134621777040949,fairly_common,12.13462177704095,,peak_abundance_with_occupancy_days_modifiers,0.2094117764616868
comter,ZA,0.2834624173137436,0.1566377431815156,0.32771898013031,nonbreeding,0.0210817330609784,0.0015734771004456,0.004555281720356,147.0,2.1081733060978403,0.11821300977124818,rare,11.82130097712482,rare,peak_abundance_with_occupancy_days_modifiers,0.0210817330609784
karpri1,ZA,0.2777351381723587,0.3201364971346722,0.3201364971346722,resident,0.3751470909229065,0.9290155117668568,0.9765782329430136,365.0,37.51470909229065,0.11582454885456224,fairly_common,11.582454885456224,,peak_abundance_with_occupancy_days_modifiers,0.3751470909229065
blucra2,ZA,0.2721663865107771,0.3128054162524939,0.3128054162524939,resident,0.2837622762986245,0.9601071944408882,0.989340431675242,365.0,28.37622762986245,0.11350219903188508,fairly_common,11.350219903188508,,peak_abundance_with_occupancy_days_modifiers,0.2837622762986245
eursta,ZA,0.2664540916983702,0.2129388857817699,0.3053276625837223,prebreeding_migration,0.0982581261416948,0.006537540225407,0.000985672484054898,126.0,9.825812614169479,0.11111998706574673,fairly_common,11.111998706574672,,peak_abundance_with_occupancy_days_modifiers,0.0982581261416948
yebduc1,ZA,0.26520637568659605,0.3037,0.3037,resident,0.2606,0.5996,0.8197,365.0,26.06,0.11059964907353827,fairly_common,11.059964907353827,,peak_abundance_with_occupancy_days_modifiers,0.2606
lessts1,ZA,0.2548077770436697,0.14661379263502924,0.2902135883646297,breeding,0.2982443259994602,0.0642099378639899,0.0731257145062801,168.0,29.82443259994602,0.10626309661401775,fairly_common,10.626309661401775,,peak_abundance_with_occupancy_days_modifiers,0.2982443259994602
whrswi1,ZA,0.2509143482595663,0.2852,0.2852,breeding,0.9615,,,,96.15,0.10463941069734316,fairly_common,10.463941069734316,,peak_abundance_with_occupancy_days_modifiers,0.9615
comhom1,ZA,0.24731275988214557,0.1327950466489195,0.2805795640659922,prebreeding_migration,0.8051691161129323,0.2510405850125083,0.1234814928764847,105.0,80.51691161129322,0.10313743168338159,fairly_common,10.313743168338158,,peak_abundance_with_occupancy_days_modifiers,0.8051691161129323
kelgul,ZA,0.2411321703924636,0.2726892360282167,0.2726892360282167,resident,0.0221500452572977,0.0439804265382718,0.0296235861426332,365.0,2.21500452572977,0.10055992566808793,rare,10.055992566808793,rare,peak_abundance_with_occupancy_days_modifiers,0.0221500452572977
litgre1,ZA,0.23705885160914122,0.18478298604119747,0.2675157109194982,breeding,0.2596376645968115,0.05394807501866,0.0713952488537942,161.0,25.963766459681146,0.09886121979484574,fairly_common,9.886121979484574,,peak_abundance_with_occupancy_days_modifiers,0.2596376645968115
capwhe2,ZA,0.23325228546249757,0.2627,0.2627,resident,0.2766,0.9038,0.9216,365.0,27.66,0.09727375841159631,fairly_common,9.727375841159631,,peak_abundance_with_occupancy_days_modifiers,0.2766
wfwduc1,ZA,0.232414934770001,0.261643119832008,0.261643119832008,resident,0.2867067510827443,0.0417582380836017,0.0187726997041791,365.0,28.67067510827443,0.09692455604984371,fairly_common,9.69245560498437,,peak_abundance_with_occupancy_days_modifiers,0.2867067510827443
soashe1,ZA,0.2234622856168879,0.2503984813798165,0.2503984813798165,resident,0.5976078200996271,0.8995762521073097,0.9423639027740838,365.0,59.76078200996271,0.09319101136393873,common,9.319101136393874,,peak_abundance_with_occupancy_days_modifiers,0.5976078200996271
whbvul1,ZA,0.21987095391499095,0.245915939638622,0.245915939638622,resident,0.3107217142235443,0.0768662637635956,0.077601197504885,365.0,31.072171422354426,0.09169330971589888,fairly_common,9.169330971589888,,peak_abundance_with_occupancy_days_modifiers,0.3107217142235443
vilwea1,ZA,0.21783610551762594,0.2433832672616607,0.2433832672616607,resident,0.1955487455930018,0.0328079517505296,0.020027084105925,365.0,19.55487455930018,0.09084471202256,fairly_common,9.084471202256001,,peak_abundance_with_occupancy_days_modifiers,0.1955487455930018
spwgoo1,ZA,0.20774560913411302,0.2309,0.2309,resident,0.4167,,,,41.67,0.08663664818508594,fairly_common,8.663664818508595,,peak_abundance_with_occupancy_days_modifiers,0.4167
whisto1,ZA,0.2052041006690602,0.15745291380006307,0.2277756292195212,prebreeding_migration,0.2827235338405847,0.1443064111771548,0.0787549435578187,77.0,28.27235338405847,0.08557675683207995,fairly_common,8.557675683207995,,peak_abundance_with_occupancy_days_modifiers,0.2827235338405847
rebduc1,ZA,0.19482637793242902,0.19165,0.2151,breeding,0.6184,,,,61.839999999999996,0.0812489103016849,fairly_common,8.124891030168492,,peak_abundance_with_occupancy_days_modifiers,0.6184
hoopoe,ZA,0.1917111195343791,0.12256043489087695,0.2113205395750302,postbreeding_migration,0.9307699224543282,0.107661394477527,0.0484446840883598,112.0,93.07699224543282,0.07994974664204166,fairly_common,7.9949746642041655,,peak_abundance_with_occupancy_days_modifiers,0.9307699224543282
blbpuf2,ZA,0.19129353796906615,0.2108148200449439,0.2108148200449439,resident,0.350934383001357,0.0755501600285537,0.0775861646954883,365.0,35.0934383001357,0.07977560160324455,fairly_common,7.9775601603244555,,peak_abundance_with_occupancy_days_modifiers,0.350934383001357
leskes1,ZA,0.1896539161856993,0.15990079520105335,0.2088311683540337,prebreeding_migration,0.7405824316127594,0.3552998760907594,0.2485815921302826,63.0,74.05824316127594,0.0790918262098958,fairly_common,7.90918262098958,,peak_abundance_with_occupancy_days_modifiers,0.7405824316127594
grbcam1,ZA,0.18884110258221698,0.2078490131447126,0.2078490131447126,resident,0.4179719604904161,0.0365323266867914,0.0400288641984442,365.0,41.79719604904161,0.07875285660905336,fairly_common,7.875285660905336,,peak_abundance_with_occupancy_days_modifiers,0.4179719604904161
ostric2,ZA,0.1887112695269662,0.2076922045967411,0.2076922045967411,resident,0.6409811929347737,0.330897488890484,0.2748699817995843,365.0,64.09811929347737,0.07869871201953621,common,7.869871201953621,,peak_abundance_with_occupancy_days_modifiers,0.6409811929347737
eswdov1,ZA,0.18755176420419176,0.2062926905860087,0.2062926905860087,resident,0.360922538989847,0.0509498294040411,0.0330360118950727,365.0,36.0922538989847,0.07821516074191047,fairly_common,7.821516074191047,,peak_abundance_with_occupancy_days_modifiers,0.360922538989847
didcuc1,ZA,0.17839696538489397,0.1952997196819772,0.1952997196819772,breeding,0.8705174048561309,0.1072459537085201,0.1730400915986275,217.0,87.0517404856131,0.07439731309729082,fairly_common,7.4397313097290825,,peak_abundance_with_occupancy_days_modifiers,0.8705174048561309
corshe,ZA,0.16940251607179027,0.160877754371483,0.1845968622487803,prebreeding_migration,0.0183340935150541,0.0129427921064017,0.0057137863839806,105.0,1.83340935150541,0.07064633639070303,rare,7.064633639070303,rare,peak_abundance_with_occupancy_days_modifiers,0.0183340935150541
zitcis1,ZA,0.1681207972942615,0.1830795148207049,0.1830795148207049,resident,0.6444334939885563,0.0658570384901825,0.0758447929932768,365.0,64.44334939885563,0.07011181814377684,fairly_common,7.011181814377684,,peak_abundance_with_occupancy_days_modifiers,0.6444334939885563
yefcan,ZA,0.1625439291852801,0.1765,0.1765,resident,0.2797,0.0488,0.0943,365.0,27.97,0.06778608349963067,uncommon,6.778608349963067,,peak_abundance_with_occupancy_days_modifiers,0.2797
soubou1,ZA,0.15867016457284713,0.1719513318564446,0.1719513318564446,resident,0.2714975470927541,0.7191591757434896,0.8033704082873159,365.0,27.14975470927541,0.06617059817949313,uncommon,6.617059817949313,,peak_abundance_with_occupancy_days_modifiers,0.2714975470927541
capgri1,ZA,0.15465896241288407,0.11242977354867645,0.1672598137469592,postbreeding_migration,0.5072483764911906,0.7355222963404419,0.7013226894485599,189.0,50.72483764911906,0.06449779695023768,fairly_common,6.449779695023768,,peak_abundance_with_occupancy_days_modifiers,0.5072483764911906
lesfla1,ZA,0.15123843055376285,0.1238901890788167,0.163273985079332,prebreeding_migration,0.036572611109673,0.2092107937918245,0.0136826767548827,161.0,3.6572611109673,0.06307132436908555,rare,6.307132436908555,rare,peak_abundance_with_occupancy_days_modifiers,0.036572611109673
wlwwar,ZA,0.15053865613684525,0.12718480647136313,0.1624602404567486,nonbreeding,0.8991012212610813,0.2001021795193158,0.2146609629194608,84.0,89.91012212610812,0.06277949577054086,uncommon,6.277949577054086,,peak_abundance_with_occupancy_days_modifiers,0.8991012212610813
sabgul,ZA,0.14908253619932152,0.1607687906997611,0.1607687906997611,postbreeding_migration,0.0376243042900284,0.0011429815490121,0.0029382207407837,49.0,3.76243042900284,0.06217224659079479,rare,6.217224659079479,rare,peak_abundance_with_occupancy_days_modifiers,0.0376243042900284
combuz1,ZA,0.1484025915419263,0.08918835049799817,0.1599798004273114,nonbreeding,0.6283579593994149,0.1001244682706359,0.0411891620545562,77.0,62.835795939941484,0.06188868764428515,uncommon,6.188868764428515,,peak_abundance_with_occupancy_days_modifiers,0.6283579593994149
rebshr1,ZA,0.14599864203757476,0.1391072390211799,0.1571946166229212,nonbreeding,0.5440552126129966,0.1554962234856698,0.1647221332420709,91.0,54.40552126129966,0.06088616283362232,uncommon,6.0886162833622315,,peak_abundance_with_occupancy_days_modifiers,0.5440552126129966
reccuc1,ZA,0.14383551940391184,0.08598145836320441,0.1546941681195145,breeding,0.3579516789388745,0.1181336671831095,0.1284215933713497,91.0,35.795167893887445,0.05998407062876191,uncommon,5.998407062876191,,peak_abundance_with_occupancy_days_modifiers,0.3579516789388745
alpswi1,ZA,0.14068962969960375,0.08245687321690873,0.1510673354233373,postbreeding_migration,0.5203647250698846,0.2971107443341055,0.3399229927078169,133.0,52.03647250698846,0.05867213272221745,uncommon,5.867213272221745,,peak_abundance_with_occupancy_days_modifiers,0.5203647250698846
spemou2,ZA,0.13937259665581764,0.1495523395757478,0.1495523395757478,resident,0.1832392887252121,0.1238550432667014,0.0819486768760772,365.0,18.32392887252121,0.05812288728238256,uncommon,5.812288728238256,,peak_abundance_with_occupancy_days_modifiers,0.1832392887252121
gloibi,ZA,0.13448364570905613,0.1070367593746734,0.1439459504245157,nonbreeding,0.111454847139789,0.0688603097572849,0.0248635295664261,133.0,11.145484713978899,0.05608403637749878,uncommon,5.608403637749878,,peak_abundance_with_occupancy_days_modifiers,0.111454847139789
grcter1,ZA,0.133176553061135,0.12155746024960434,0.1424516838682566,nonbreeding,0.0210186779458258,0.029974717768909,0.0295790081406481,273.0,2.10186779458258,0.05553893640472314,rare,5.553893640472314,rare,peak_abundance_with_occupancy_days_modifiers,0.0210186779458258
pitwhy,ZA,0.12171818304387139,0.1294357627769525,0.1294357627769525,resident,0.4782433446447651,0.0926931633331864,0.09437512961903,365.0,47.82433446447651,0.05076042495459981,uncommon,5.076042495459981,,peak_abundance_with_occupancy_days_modifiers,0.4782433446447651
legshr2,ZA,0.11815443958645692,0.10804191018438107,0.1254179070226841,nonbreeding,0.5695218052638032,0.2752088393745305,0.2885559489935939,91.0,56.952180526380324,0.049274228498131796,uncommon,4.92742284981318,,peak_abundance_with_occupancy_days_modifiers,0.5695218052638032
bkskit1,ZA,0.11454888590836057,0.1213674587908735,0.1213674587908735,resident,0.4062624045127053,0.0637558638599078,0.0822210807700916,365.0,40.626240451270526,0.047770595825346755,uncommon,4.777059582534675,,peak_abundance_with_occupancy_days_modifiers,0.4062624045127053
grefla3,ZA,0.1099657938244721,0.10203946373709794,0.1162398875083053,nonbreeding,0.0319363292386298,0.0850888617354304,0.0120057147175904,133.0,3.1936329238629804,0.0458592979734852,rare,4.58592979734852,rare,peak_abundance_with_occupancy_days_modifiers,0.0319363292386298
afpswi1,ZA,0.10523802383272048,0.1109750174185683,0.1109750174185683,resident,0.1054848269023279,0.0432934931662725,0.0613790062009135,365.0,10.54848269023279,0.043887664747721204,uncommon,4.388766474772121,,peak_abundance_with_occupancy_days_modifiers,0.1054848269023279
bkwsti,ZA,0.09997821544008434,0.08216950237547171,0.1051468426758027,breeding,0.1510277655213384,0.0363449648587719,0.0090629505573632,105.0,15.10277655213384,0.04169415427530686,uncommon,4.169415427530685,,peak_abundance_with_occupancy_days_modifiers,0.1510277655213384
hargul1,ZA,0.09830588991479676,0.1033002219074943,0.1033002219074943,resident,0.0094879921823601,0.5600553666369527,0.5218949670590786,365.0,0.94879921823601,0.040996740362256395,very_rare,4.09967403622564,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0094879921823601
yecbis,ZA,0.08596340180891376,0.0897664440947278,0.0897664440947278,resident,0.3283010095722499,0.1552367477955021,0.4577404607796289,365.0,32.83010095722499,0.03584952303133473,uncommon,3.584952303133473,,peak_abundance_with_occupancy_days_modifiers,0.3283010095722499
spofly1,ZA,0.08480060169246506,0.0608,0.0885,nonbreeding,0.9174,0.0806,0.1045,91.0,91.74,0.03536459771802371,uncommon,3.5364597718023707,,peak_abundance_with_occupancy_days_modifiers,0.9174
librol2,ZA,0.08228251355943898,0.0857625091353141,0.0857625091353141,resident,0.2673326452181248,0.0781263518511188,0.0693137223583923,365.0,26.733264521812476,0.03431447340209078,uncommon,3.431447340209078,,peak_abundance_with_occupancy_days_modifiers,0.2673326452181248
parjae,ZA,0.08107501310962835,0.051385087003663246,0.084452241650638,nonbreeding,0.0458525472035443,0.0037348121243568,0.0115728947309614,84.0,4.58525472035443,0.033810906601860403,rare,3.3810906601860404,rare,peak_abundance_with_occupancy_days_modifiers,0.0458525472035443
litsti,ZA,0.07832446924303466,0.059160908356678144,0.0814735066373785,postbreeding_migration,0.071066677067111,0.0239247901463184,0.0208352682025592,126.0,7.1066677067111,0.03266384071545753,uncommon,3.2663840715457533,,peak_abundance_with_occupancy_days_modifiers,0.071066677067111
grccra1,ZA,0.07165378025734341,0.0742833415681674,0.0742833415681674,resident,0.1443159941355797,0.1174197651901057,0.1214696869485428,365.0,14.431599413557969,0.029881947335307364,uncommon,2.9881947335307366,,peak_abundance_with_occupancy_days_modifiers,0.1443159941355797
broman1,ZA,0.07001274445244941,0.0725218498708334,0.0725218498708334,resident,0.0567269933029902,0.0145990119217789,0.0165972851758051,365.0,5.67269933029902,0.02919758224917958,uncommon,2.919758224917958,,peak_abundance_with_occupancy_days_modifiers,0.0567269933029902
commoo3,ZA,0.06980587424396291,0.05885,0.0723,breeding,0.2057,0.0237,0.0191,294.0,20.57,0.029111310671420067,uncommon,2.9111310671420068,,peak_abundance_with_occupancy_days_modifiers,0.2057
ruff,ZA,0.06892612379189203,0.06681961451534717,0.0713570584276983,nonbreeding,0.0552205011721521,0.0678651601030776,0.0217814959093593,126.0,5.52205011721521,0.02874442623653639,uncommon,2.874442623653639,,peak_abundance_with_occupancy_days_modifiers,0.0552205011721521
woosan,ZA,0.06686422766754758,0.048261870121149936,0.0691503072887655,nonbreeding,0.182865268780069,0.0413062649576138,0.0216453928483635,133.0,18.2865268780069,0.027884548764932654,uncommon,2.7884548764932653,,peak_abundance_with_occupancy_days_modifiers,0.182865268780069
