species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,ZM,2.2065921082327513,5.395526181411771,8.08470389182989,prebreeding_migration,0.9914006421912948,0.0430889751497242,0.0460909058653485,91.0,99.14006421912947,0.9202203837941737,abundant,92.02203837941737,,peak_abundance_with_occupancy_days_modifiers,0.9914006421912948
amufal1,ZM,2.12618305216433,2.659010006972349,7.382808924339322,prebreeding_migration,0.2834601663414113,0.1979501114558064,0.6533608485931867,77.0,28.34601663414113,0.8866872028497934,abundant,88.66872028497934,,peak_abundance_with_occupancy_days_modifiers,0.2834601663414113
rindov,ZM,1.266919262136142,2.5498993896290263,2.5498993896290263,resident,0.847069372383242,0.0886296953079057,0.0725964724886545,365.0,84.7069372383242,0.5283463696300769,common,52.83463696300769,,peak_abundance_with_occupancy_days_modifiers,0.847069372383242
combul2,ZM,1.1812559442319885,2.2584640831916967,2.2584640831916967,resident,0.8601378316619313,0.0667204672292741,0.0759970340485669,365.0,86.01378316619312,0.49262199130717227,common,49.26219913071723,,peak_abundance_with_occupancy_days_modifiers,0.8601378316619313
eubeat1,ZM,1.113291580859631,1.5629504435820971,2.044362686383378,prebreeding_migration,0.9377972267986304,0.1155915818469157,0.1791890530318367,105.0,93.77972267986304,0.46427865031837157,common,46.42786503183716,,peak_abundance_with_occupancy_days_modifiers,0.9377972267986304
comswi,ZM,0.8669110872584761,0.8854210085419149,1.3795492696743257,postbreeding_migration,0.7613111452617716,0.0912526181579968,0.1038531590403111,70.0,76.13111452617716,0.3615300038715957,common,36.153000387159565,,peak_abundance_with_occupancy_days_modifiers,0.7613111452617716
categr1,ZM,0.7628687864275432,0.6262375419567168,1.1444192856544066,nonbreeding,0.2548747189338058,0.0194801410438006,0.024657325565642,140.0,25.48747189338058,0.31814099434679094,common,31.814099434679093,,peak_abundance_with_occupancy_days_modifiers,0.2548747189338058
eswdov1,ZM,0.6185950819529961,0.8563182340046072,0.8563182340046072,resident,0.8595930887031105,0.1526392064762902,0.1724977440195219,365.0,85.95930887031105,0.2579741863501356,common,25.797418635013557,,peak_abundance_with_occupancy_days_modifiers,0.8595930887031105
fotdro5,ZM,0.6125308716168232,0.8450951936150883,0.8450951936150883,resident,0.943167745635345,0.09280332298584,0.0916055300155365,365.0,94.3167745635345,0.25544521421154176,common,25.544521421154176,,peak_abundance_with_occupancy_days_modifiers,0.943167745635345
wfwduc1,ZM,0.5664258746629819,0.7619583241694058,0.7619583241694058,resident,0.428646225782003,0.0377936441455813,0.0330951345244469,365.0,42.864622578200304,0.2362179370752738,fairly_common,23.62179370752738,,peak_abundance_with_occupancy_days_modifiers,0.428646225782003
bubcor1,ZM,0.5045833784296914,0.6562953283357844,0.6562953283357844,resident,0.3841664564163786,0.1058357926700758,0.1224853291759511,365.0,38.41664564163786,0.21042761297945964,fairly_common,21.042761297945965,,peak_abundance_with_occupancy_days_modifiers,0.3841664564163786
