species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,ZW,1.4501607814483046,1.543075,3.2638,nonbreeding,0.9983,0.0103,0.014,126.0,99.83,0.6047640186370403,common,60.476401863704034,,peak_abundance_with_occupancy_days_modifiers,0.9983
helgui,ZW,1.2377684521771268,2.4479106958038677,2.4479106958038677,resident,0.8968322124437158,0.07439007201906,0.0876815055704864,365.0,89.68322124437158,0.5161895376409151,common,51.618953764091515,,peak_abundance_with_occupancy_days_modifiers,0.8968322124437158
rindov,ZW,1.235413330160255,2.4398,2.4398,resident,0.9656,0.0415,0.054,365.0,96.56,0.5152073754741231,common,51.52073754741231,,peak_abundance_with_occupancy_days_modifiers,0.9656
combul2,ZW,1.037318622420088,1.8216409769281912,1.8216409769281912,resident,0.7918317440761311,0.031947362363671,0.0318828629439699,365.0,79.18317440761311,0.4325954657767542,common,43.259546577675415,,peak_abundance_with_occupancy_days_modifiers,0.7918317440761311
amufal1,ZW,1.0305389845614736,1.0034779354278285,1.8025759728736757,prebreeding_migration,0.7573033675562637,0.1491008106230122,0.1238038893283676,77.0,75.73033675562637,0.42976813718758583,common,42.976813718758585,,peak_abundance_with_occupancy_days_modifiers,0.7573033675562637
categr1,ZW,0.9806040878201692,0.9736176039791066,1.6660662937499258,nonbreeding,0.4126392067040269,0.0217364167937439,0.0187243829033831,140.0,41.26392067040269,0.40894366778403674,common,40.89436677840367,,peak_abundance_with_occupancy_days_modifiers,0.4126392067040269
bubcor1,ZW,0.948409361755615,1.5816,1.5816,resident,0.9803,0.0822,0.1465,365.0,98.03,0.39551742418208724,common,39.551742418208725,,peak_abundance_with_occupancy_days_modifiers,0.9803
eubeat1,ZW,0.9093063980997104,0.9550666666666666,1.4826,prebreeding_migration,0.9993,0.0261,0.0508,91.0,99.92999999999999,0.3792102217368899,common,37.92102217368899,,peak_abundance_with_occupancy_days_modifiers,0.9993
comswi,ZW,0.7633726254494423,0.652,1.1455,nonbreeding,0.908,0.0266,0.0341,133.0,90.8,0.31835111153898643,common,31.835111153898644,,peak_abundance_with_occupancy_days_modifiers,0.908
eswdov1,ZW,0.7044591430664163,1.02275236937105,1.02275236937105,resident,0.8734981400066899,0.0804830979582825,0.1069025926155672,365.0,87.34981400066899,0.2937822810936628,common,29.378228109366276,,peak_abundance_with_occupancy_days_modifiers,0.8734981400066899
grygab1,ZW,0.6646435641242968,0.9437975586607774,0.9437975586607774,resident,0.8149177682976011,0.1989956907141521,0.2195031244511853,365.0,81.49177682976011,0.27717789499148987,common,27.71778949914899,,peak_abundance_with_occupancy_days_modifiers,0.8149177682976011
reedov1,ZW,0.6644904713101408,0.9435,0.9435,resident,1.0,0.0283,0.0372,365.0,100.0,0.2771140503290926,common,27.71140503290926,,peak_abundance_with_occupancy_days_modifiers,1.0
litswi1,ZW,0.5139607042614633,0.6461,0.6719,breeding,0.9327,0.0279,0.0315,84.0,93.27,0.21433826159624783,fairly_common,21.433826159624783,,peak_abundance_with_occupancy_days_modifiers,0.9327
wbswea1,ZW,0.48298155053599273,0.6209,0.6209,resident,0.6403,0.0763,0.074,365.0,64.03,0.20141895103381552,common,20.14189510338155,,peak_abundance_with_occupancy_days_modifiers,0.6403
wfwduc1,ZW,0.44532664153329504,0.561,0.561,resident,0.6279,0.0327,0.0118,365.0,62.79,0.18571563428355808,common,18.57156342835581,,peak_abundance_with_occupancy_days_modifiers,0.6279
fotdro5,ZW,0.4396732794379014,0.5522,0.5522,resident,0.9745,0.0487,0.0571,365.0,97.45,0.18335799916932893,common,18.335799916932892,,peak_abundance_with_occupancy_days_modifiers,0.9745
egygoo,ZW,0.40713038742722557,0.5025,0.5025,resident,0.8541,,,,85.41,0.16978655909025578,fairly_common,16.978655909025576,,peak_abundance_with_occupancy_days_modifiers,0.8541
grbcam1,ZW,0.40200185479691875,0.4948141052500679,0.4948141052500679,resident,0.9188721291415836,0.0426608295978214,0.0506187486941812,365.0,91.88721291415835,0.16764779486294162,common,16.764779486294163,,peak_abundance_with_occupancy_days_modifiers,0.9188721291415836
comhom1,ZW,0.40103468080129656,0.2818363940877168,0.4933690588374816,prebreeding_migration,0.9726652572342728,0.0886553035266197,0.0950753758845793,105.0,97.26652572342728,0.16724445197862395,fairly_common,16.724445197862394,,peak_abundance_with_occupancy_days_modifiers,0.9726652572342728
lessts1,ZW,0.39251494893253613,0.38125,0.4807,breeding,1.0,0.0379,0.0308,287.0,100.0,0.1636914478231015,common,16.369144782310148,,peak_abundance_with_occupancy_days_modifiers,1.0
blbpuf2,ZW,0.38716535093673105,0.4728,0.4728,resident,0.9893,0.0629,0.0759,365.0,98.92999999999999,0.16146049217775246,common,16.146049217775246,,peak_abundance_with_occupancy_days_modifiers,0.9893
blaplo1,ZW,0.318381001201051,0.3749,0.3749,resident,0.7455,0.1121,0.0863,365.0,74.55000000000001,0.13277519031492013,common,13.277519031492012,,peak_abundance_with_occupancy_days_modifiers,0.7455
comwax,ZW,0.3137152494985967,0.3685,0.3685,resident,0.922,0.0576,0.057,365.0,92.2,0.13082942072465387,common,13.082942072465386,,peak_abundance_with_occupancy_days_modifiers,0.922
